Z      N      A      Energy_new(MeV)     Energy_old(MeV)     Energy_diff(MeV)    beta2_new    beta2_old    beta3_new    fileID    
20     16     36     -286.467021         -286.42688          -0.040141           4e-06        -0.000001    0.0          11198     
20     18     38     -317.451792         -317.417985         -0.033807           0.000141     -0.000001    -2e-06       11303     
20     20     40     -344.97856          -344.9401           -0.03846            1.9e-05      0.000000     0.0          11338     
20     22     42     -366.092942         -366.054844         -0.038098           0.000171     -0.000001    -3e-06       11437     
20     24     44     -385.001807         -384.981642         -0.020165           -0.0         -0.000001    -0.0         11483     
20     26     46     -402.838338         -402.821288         -0.01705            0.00126      -0.000001    -3.8e-05     11603     
20     28     48     -418.550228         -418.536033         -0.014195           2.4e-05      -0.000001    -0.0         11678     
20     30     50     -430.55725          -430.538255         -0.018995           2.5e-05      0.000000     2e-06        11752     
20     32     52     -440.325775         -440.314645         -0.01113            -5.6e-05     0.000000     0.0          11842     
20     34     54     -447.603582         -447.586417         -0.017165           -6.3e-05     0.000000     -0.0         11872     
20     36     56     -453.336551         -453.329913         -0.006638           -0.0         0.000000     -1e-06       11993     
20     38     58     -458.532179         -458.526753         -0.005426           1e-06        0.000000     2e-06        12053     
20     40     60     -462.561644         -462.549012         -0.012632           5.9e-05      0.000000     1e-06        12114     
20     42     62     -464.295912         -464.292252         -0.00366            0.0          0.000000     -0.0         12188     
20     44     64     -464.86868          -464.864623         -0.004057           -7.2e-05     0.000000     0.0          12247     
20     46     66     -465.204706         -465.198114         -0.006592           0.00017      0.000000     1e-06        12309     
20     48     68     -465.23938          -465.226744         -0.012636           -0.002815    0.000000     -1e-06       12425     
20     50     70     -464.471256         -464.468088         -0.003168           -0.005359    0.000000     -0.0         12486     
20     52     72     -462.795391         -462.793993         -0.001398           -0.0         0.000000     -0.0         12533     
20     54     74     -460.589159         -460.573998         -0.015161           -0.003322    0.000000     0.0          12667     
20     56     76     -458.321074         -458.320125         -0.000949           0.0          0.000000     -0.0         12728     
20     58     78     -455.535995         -455.535215         -0.00078            0.0          0.000000     0.0          12803     
20     60     80     -452.024821         -452.017781         -0.00704            0.001959     0.000000     -0.0         12864     
20     62     82     -447.177005         -447.176472         -0.000533           -0.0         0.000000     -0.0         12938     
22     12     34     -200.612254         -200.537489         -0.074765           0.172682     0.165562     0.000176     12990     
22     14     36     -245.538518         -245.426662         -0.111856           0.101362     -0.000011    -0.035117    13120     
22     16     38     -284.864318         -284.770409         -0.093909           0.000592     -0.000006    -0.0         13196     
22     18     40     -320.076748         -319.971059         -0.105689           -8e-06       -0.000002    -0.0         13213     
22     20     42     -351.778265         -351.688796         -0.089469           -1.3e-05     -0.000001    0.0          13304     
22     22     44     -376.616728         -376.573601         -0.043127           -0.000216    -0.000002    -1e-06       13380     
22     24     46     -399.226055         -399.206584         -0.019471           -0.0         -0.000004    -0.0         13433     
22     26     48     -420.631826         -420.615292         -0.016534           0.001827     -0.000004    -6.4e-05     13568     
22     28     50     -439.752079         -439.733928         -0.018151           3.7e-05      -0.000001    1e-06        13614     
22     30     52     -454.536211         -454.508577         -0.027634           -0.000201    0.000000     1e-06        13672     
22     32     54     -466.960625         -466.951167         -0.009458           3e-06        -0.000001    -0.0         13793     
22     34     56     -476.94355          -476.935753         -0.007797           4e-06        -0.000002    0.0          13823     
22     36     58     -485.440189         -485.433792         -0.006397           -0.0         0.000000     -0.0         13883     
22     38     60     -493.367033         -493.361206         -0.005827           3.1e-05      0.000000     -1e-06       14019     
22     40     62     -500.10854          -500.104245         -0.004295           0.0          0.000000     1e-06        14093     
22     42     64     -504.443522         -504.414909         -0.028613           -0.000377    0.000000     -1e-06       14105     
22     44     66     -507.559241         -507.521407         -0.037834           -0.001295    0.000001     -1e-06       14239     
22     46     68     -510.380295         -510.329085         -0.05121            -0.001666    -0.000008    -7e-06       14255     
22     48     70     -512.932714         -512.892386         -0.040328           -0.002164    -0.000005    -6e-06       14375     
22     50     72     -514.311005         -514.299539         -0.011466           0.005504     0.000000     0.000261     14426     
22     52     74     -513.904835         -513.884452         -0.020383           -0.027725    -0.000001    1.9e-05      14523     
22     54     76     -512.748152         -512.701192         -0.04696            -0.050358    -0.000004    -2.4e-05     14613     
22     56     78     -511.462645         -511.446464         -0.016181           0.002749     0.000000     -4e-06       14649     
22     58     80     -509.659846         -509.659096         -0.00075            -0.0         0.000000     0.0          14708     
22     60     82     -506.997584         -506.99697          -0.000614           0.0          0.000000     -0.0         14783     
