EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SKP,'',28,51,79,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-644.533526,-1.145275,0,0
SKP,'',28,51,79,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-641.219776,2.168475,0,0
SKP,'',28,51,79,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-645.740188,-2.351937,0,0
SKP,'',28,49,77,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-635.56568,-7.822571,0,0
SKP,'',27,50,77,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-623.238741,-20.14951,0,0
SKP,'',27,50,77,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-617.727933,-25.660318,0,0
SKP,'',27,50,77,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-618.263067,-25.125184,0,0
SKP,'',29,50,79,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-656.995862,-13.607611,0,0
SKP,'',29,50,79,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-653.589395,-10.201144,0,0
SKP,'',29,50,79,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-658.685607,-15.297356,0,0
SKP,'',29,50,79,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-657.355209,-13.966958,0,0
SKP,'',27,50,77,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-614.7131,-28.675151,0,0
SKP,90Zr,40,50,90,Ground,Ground,Ground,"0, 0, 0, 0, 0",-782.502512,0,0,0
SKP,'',40,49,89,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-771.369818,-11.132694,0,0
SKP,'',40,49,89,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-766.411336,-16.091176,0,0
SKP,'',40,49,89,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-767.951629,-14.550883,0,0
SKP,'',40,51,91,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-788.060607,-5.558095,0,0
SKP,'',40,49,89,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-763.246938,-19.255574,0,0
SKP,'',40,51,91,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-788.657538,-6.155026,0,0
SKP,'',40,51,91,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-787.149346,-4.646834,0,0
SKP,'',40,51,91,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-784.727759,-2.225247,0,0
SKP,'',40,49,89,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-767.667155,-14.835357,0,0
SKP,'',40,51,91,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-790.099558,-7.597046,0,0
