EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SV-min,'',20,21,41,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-339.297626,1.826522,0,0
SV-min,'',20,19,39,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-320.833383,-20.290765,0,0
SV-min,'',20,21,41,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-344.804562,-3.680414,0,0
SV-min,'',21,20,41,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-338.474585,2.649563,0,0
SV-min,'',19,20,39,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-327.670768,-13.45338,0,0
SV-min,'',21,20,41,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-332.714342,8.409806,0,0
SV-min,'',21,20,41,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-339.989263,1.134885,0,0
SV-min,'',19,20,39,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-333.41294,-7.711208,0,0
SV-min,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-321.2143,-19.909848,0,0
SV-min,'',21,20,41,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-336.526758,4.59739,0,0
SV-min,'',21,20,41,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-343.35707,-2.232922,0,0
SV-min,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-317.913556,-23.210592,0,0
SV-min,'',19,20,39,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-331.412836,-9.711312,0,0
SV-min,48Ca,20,28,48,Ground,Ground,Ground,"0, 0, 0, 0, 0",-414.331686,0,0,0
SV-min,'',20,29,49,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-415.894848,-1.563162,0,0
SV-min,'',20,27,47,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-400.411749,-13.919937,0,0
SV-min,'',20,27,47,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-398.108297,-16.223389,0,0
SV-min,'',20,27,47,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-405.284326,-9.04736,0,0
SV-min,'',20,29,49,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-418.741923,-4.410237,0,0
SV-min,'',20,27,47,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-395.171219,-19.160467,0,0
SV-min,'',20,29,49,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-412.779834,1.551852,0,0
SV-min,'',20,29,49,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-420.354035,-6.022349,0,0
SV-min,'',21,28,49,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-418.959405,-4.627719,0,0
SV-min,'',21,28,49,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-413.313159,1.018527,0,0
SV-min,'',19,28,47,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-393.519581,-20.812105,0,0
SV-min,'',21,28,49,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-417.355415,-3.023729,0,0
SV-min,'',19,28,47,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-398.037209,-16.294477,0,0
SV-min,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-384.281879,-30.049807,0,0
SV-min,'',21,28,49,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-424.10783,-9.776144,0,0
SV-min,'',21,28,49,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-416.930901,-2.599215,0,0
SV-min,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-387.005609,-27.326077,0,0
