./UNEDF0/block1a/
       (Z,N)     E_HFB_LN(MeV)       beta2_in       beta3_in        Q20_out        Q30_out   file#     iter#
    (16, 24)       -335.191909          -0.05            0.0       0.000625            0.0    7957        60
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 60
    (16, 26)       -345.292958           0.05            0.0       0.710215        2.8e-05    8034        51
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 51
    (16, 28)       -353.855468          -0.05            0.0      -0.603635       -2.2e-05    8107        49
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 49
    (16, 30)        -361.24845            0.0            0.2       0.000569         -1e-06    8213        64
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 64
    (16, 32)       -367.229001            0.1            0.0       0.005072         -1e-06    8260        41
    (16, 32)       -367.229001            0.1            0.2       0.005126          6e-06    8290       162
    (16, 32)       -367.229001            0.1            0.3       0.005124         -6e-06    8305       252
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 41
    (16, 34)       -370.589196           -0.1            0.1      -0.009237            0.0    8346       139
    (16, 34)       -370.589196           -0.1            0.3      -0.009231          3e-06    8376       166
    (16, 34)       -370.589196           -0.1            0.4      -0.009237          3e-06    8391       295
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 139
    (16, 36)       -371.255123           -0.1            0.1      -0.010896         -1e-06    8421       261
    (16, 36)       -371.255123           -0.1            0.2      -0.010899         -1e-06    8436        98
    (16, 36)       -371.255123           -0.1            0.4      -0.010893          1e-06    8466       110
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 98
    (16, 38)       -371.325377          -0.15            0.0      -0.025407          4e-06    8480        66
    (16, 38)       -371.325377          -0.15            0.3      -0.025405          3e-06    8525       193
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 66
    (16, 40)       -370.543346           0.15            0.0       0.060592         -2e-06    8561        45
    (16, 40)       -370.543346           0.15            0.2       0.060588          9e-06    8591        61
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 45
    (16, 42)       -368.408732            0.2            0.1       0.579553        8.8e-05    8652       165
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 165
    (16, 44)       -366.424105            0.2            0.1        2.12176       -8.2e-05    8727       141
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 141
    (16, 46)       -364.345124            0.2            0.1       2.836348      -0.000225    8802       119
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 119
    (16, 48)       -361.825277            0.2            0.0       3.189815       -0.00019    8862        91
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 91
     (18, 6)         -75.14361           0.35            0.1       5.902348       0.524576    8955       331
