 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   S        16     20     36          -311.711652              -11.132346               -8.461393            -0.000001             0.000000              -0.000001              -0.000002                  -0.000001                     -0.000003                   1.669552                1.943355              3.234159             3.321647               3.283051               0.087489              3.338516         13.961359       24.262968       10.953959      18.147639          -9.547332            
   S        16     22     38          -324.372613              -13.242951               -6.495644            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000004                     -0.000007                   1.617210                1.594458              3.252457             3.399577               3.338422               0.147120              3.356245         15.989179       28.404622        8.099388      12.660961          -8.623928            
   S        16     24     40          -335.900835              -15.192219               -5.789285             0.134473             0.140128               0.138028               0.291970                   0.515287                      0.807257                   1.644701                1.650452              3.279715             3.484996               3.404369               0.205282              3.382667         17.817371       32.158468        7.386567      11.528222         -11.632843            
   S        16     26     42          -346.245838              -17.022927               -4.878699             0.172429             0.169320               0.170398               0.380150                   0.703547                      1.083697                   1.653555                1.658448              3.304892             3.559183               3.464512               0.254291              3.407083         19.851455       36.300005        6.826952      10.345004         -14.203471            
   S        16     28     44          -354.307624              -18.784218               -4.019431            -0.149708            -0.140230              -0.143299              -0.333355                  -0.652109                     -0.985465                   1.537046                1.638920              3.321365             3.628324               3.519801               0.306959              3.423064         21.387431       39.356773        5.679577       8.061786         -16.061790            
   S        16     30     46          -360.533845              -20.332262               -2.942913            -0.142085            -0.131210              -0.134486              -0.320011                  -0.685510                     -1.005521                   1.506891                1.491727              3.340361             3.715420               3.589412               0.375059              3.441499         22.969766       42.611058        4.678434       6.226222         -17.282994            
   S        16     32     48          -364.550752              -21.667473               -2.035339            -0.000003            -0.000002              -0.000002              -0.000006                  -0.000011                     -0.000017                   1.445388                1.422237              3.347819             3.804884               3.658879               0.457066              3.431865         24.234703       45.235947        3.465436       4.016908         -18.327965            
   S        16     34     50          -366.755670              -22.945688               -0.949745            -0.000001             0.000000              -0.000001              -0.000002                  -0.000003                     -0.000005                   1.447312                1.458473              3.375417             3.911077               3.748005               0.535661              3.458792         25.404441       47.603048        2.542815       2.204919         -19.140865            
   Ar       18     14     32          -250.575055               -1.858620              -17.547734            -0.000002            -0.000003              -0.000002              -0.000005                  -0.000004                     -0.000010                   1.736513                2.101579              3.292119             3.079182               3.200703              -0.212938              3.411752          4.141916        4.604919       20.650356      37.203149          -8.890310            
   Ar       18     16     34          -281.381771               -4.126042              -14.711532            -0.000002            -0.000002              -0.000002              -0.000004                  -0.000003                     -0.000008                   1.709364                1.828632              3.294411             3.174334               3.238459              -0.120078              3.413964          6.328577        9.133737       17.368464      30.806717          -7.111636            
