 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Ne       10     2      12            -9.601504                5.274682              -29.402366             0.000000             0.000000               0.000000               0.000001                   0.000000                      0.000001                   1.606022                5.460849              3.840003             2.095185               3.608276              -1.744818              3.943048         -3.830335      -11.794411         No_Data        No_Data            No_Data            
   Ne       10     4      14           -57.996499                3.205304              -24.440449             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   1.984717                3.256451              3.209987             2.383934               2.997293              -0.826053              3.332570         -1.490385       -8.091177       28.556148      48.394996          -8.300585            
   Ne       10     6      16          -102.661079               -0.029982              -20.837828            -0.000002            -0.000001              -0.000001              -0.000002                   0.000000                     -0.000002                   2.298604                3.315250              2.898509             2.532665               2.766992              -0.365844              3.033704          2.418908       -0.669035       25.618141      44.664581          -8.273404            
   Ne       10     8      18          -137.486724               -3.663130              -15.409110            -0.000001             0.000000              -0.000001              -0.000001                   0.000000                     -0.000001                   2.302606                3.178142              2.842184             2.661386               2.763290              -0.180799              2.979935          6.548119        7.647296       20.659519      34.825646          -5.856611            
   Ne       10     10     20          -159.630263               -7.120072              -11.100083            -0.000004            -0.000004              -0.000004              -0.000004                  -0.000004                     -0.000008                   2.202438                2.303252              2.833417             2.803831               2.818663              -0.029586              2.951975         10.088199       14.895871       13.812467      22.143540          -1.490835            
   Ne       10     12     22          -179.101524              -10.677569               -9.305082             0.225804             0.216859               0.220803               0.233572                   0.284489                      0.518061                   2.149464                2.322946              2.863447             2.943738               2.907517               0.080292              2.980811         13.885665       22.612895       12.048730      19.471261          -6.067132            
   Ne       10     14     24          -194.308651              -13.263330               -7.647359            -0.000026            -0.000021              -0.000023              -0.000027                  -0.000033                     -0.000060                   1.977487                2.272349              2.849301             3.023131               2.951946               0.173830              2.967224         16.358068       27.825343        9.901212      15.207127          -9.520021            
   Ne       10     16     26          -206.423673              -15.894519               -5.360442            -0.000003            -0.000001              -0.000002              -0.000003                  -0.000003                     -0.000005                   1.868783                2.250339              2.872558             3.143301               3.042022               0.270743              2.989564         18.920064       33.119957        8.318856      12.115023         -11.640365            
   Ne       10     18     28          -213.288763              -18.332584               -3.390985            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.830420                1.948221              2.910418             3.263263               3.141799               0.352845              3.025960         21.320807       37.990340        5.531825       6.865090         -11.685047            
   Ne       10     20     30          -217.358023              -20.596638               -1.828507            -0.000002             0.000000              -0.000001              -0.000002                  -0.000001                     -0.000003                   1.757728                2.044587              2.949804             3.368027               3.234633               0.418224              3.044856         23.643637       42.726344        4.031035       4.069261         -13.759600            
   Ne       10     22     32          -217.259406              -22.669995               -0.386626            -0.000005            -0.000003              -0.000004              -0.000006                  -0.000011                     -0.000017                   1.715463                1.715396              2.980648             3.472636               3.326715               0.491989              3.074746         25.562003       46.619358        1.830683      -0.098617         -14.327727            
   Ne       10     24     34            -218.1946              -25.063801               -0.298695             0.302561             0.245151               0.258260               0.355654                   0.973863                      1.329517                   1.775864                1.747900              3.052479             3.622192               3.464368               0.569714              3.144429         28.444857       52.354881        2.199245       0.935194         -19.254551            
   Ne       10     26     36          -217.025151              -26.873317                0.379174             0.320145             0.259577               0.272153               0.383850                   1.187622                      1.571472                   1.747391                1.604937              3.082851             3.734778               3.565663               0.651928              3.173921         30.210312       55.946394        1.091695      -1.169450         -22.885431            
   Ne       10     28     38          -214.483442              -28.175558                0.862399             0.295078             0.222280               0.235962               0.357081                   1.162166                      1.519248                   1.689513                1.489823              3.097134             3.847249               3.664766               0.750116              3.187796         31.192088       57.989155        0.276526      -2.541709         -25.104684            
   Ne       10     30     40           -211.31851              -29.098336                1.077306             0.220030             0.132645               0.147515               0.266398                   0.783186                      1.049585                   1.612905                1.433545              3.097913             3.949764               3.754963               0.851851              3.170295         31.831683       59.365094       -0.120783      -3.164932         -26.524223            
   Ne       10     32     42          -208.629607              -29.954932                1.344629             0.000001             0.000001               0.000001               0.000001                   0.000004                      0.000006                   1.573517                1.505671              3.094828             4.056578               3.849446               0.961750              3.167280         32.723688       61.224279        0.125157      -2.688904         -28.376190            
   Ne       10     34     44          -204.842273              -30.746161                2.093574            -0.000001             0.000000               0.000000              -0.000001                   0.000000                     -0.000001                   1.558550                1.450783              3.112542             4.209933               3.987137               1.097392              3.184591         33.585984       62.993682       -0.415440      -3.787334         -29.136945            
   Ne       10     36     46          -198.370299              -31.243945                2.961559            -0.000004            -0.000001              -0.000001              -0.000005                  -0.000010                     -0.000015                   1.530544                1.014000              3.125372             4.427960               4.179467               1.302588              3.197132         33.813503       63.499844       -2.003596      -6.471975         -28.221707            
   Ne       10     38     48          -191.004078              -31.619955                3.289417            -0.000001             0.000000               0.000000              -0.000002                  -0.000003                     -0.000005                   1.507844                0.995366              3.140365             4.619634               4.353106               1.479269              3.211790         34.103450       64.119234       -2.678428      -7.366221         -27.833623            
   Ne       10     40     50          -183.567229              -32.040736                3.410394            -0.000003            -0.000001              -0.000001              -0.000003                  -0.000012                     -0.000015                   1.486865                1.014288              3.158117             4.771795               4.495638               1.613679              3.211122         34.403478       64.743490       -2.713598      -7.436849         -28.382385            
   Ne       10     42     52          -176.226238              -32.456998                3.462422            -0.000003            -0.000001              -0.000001              -0.000003                  -0.000015                     -0.000018                   1.466431                1.022322              3.176019             4.911799               4.628825               1.735781              3.228730           No_Data         No_Data       -2.652191      -7.340992         -29.102499            
