 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   C        6      34     40           -97.783799              -36.289958                2.385949            -0.000003             0.000000               0.000000              -0.000002                  -0.000002                     -0.000004                   1.807504                1.297192              2.843327             4.641228               4.418430               1.797901              2.882015         38.486178       73.375349       -1.133361      -4.922314         -38.641132            
   C        6      36     42           -91.990868              -36.792576                2.630577            -0.000002             0.000000               0.000000              -0.000001                  -0.000004                     -0.000005                   1.782348                1.097324              2.853581             4.804428               4.576931               1.950847              2.871990           No_Data         No_Data       -1.699208      -5.792931         -39.282418            
   O        8      2      10           -26.030198                2.671214              -26.550450             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.326901                4.931342              3.190993             2.049532               2.997677              -1.141462              3.314278         -0.640150       -6.772816         No_Data        No_Data            No_Data            
   O        8      4      12           -67.401491               -0.241017              -20.784027             0.000000             0.000001               0.000001               0.000000                   0.000000                      0.000001                   2.606757                2.701708              2.790232             2.321622               2.643276              -0.468610              2.930426          3.202266        0.452513       24.502172      41.371293          -6.298477            
   O        8      6      14          -103.906436               -3.981592              -16.405598             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.566302                3.074793              2.681407             2.476826               2.595705              -0.204582              2.827003          7.661603        9.552380       21.140723      36.504946          -8.657459            
   O        8      8      16          -128.856436               -7.940776              -11.240736             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.559389                2.627430              2.668646             2.643095               2.655901              -0.025551              2.794204         12.316247       19.073224       15.326112      24.950001          -6.202381            
   O        8      10     18          -144.746257              -11.445364               -8.320112             0.000000            -0.000001               0.000000               0.000000                  -0.000001                     -0.000001                   2.499344                2.068974              2.673588             2.792956               2.740546               0.119369              2.798924         16.024750       26.737806       10.293113      15.889822          -6.663046            
   O        8      12     20          -158.460613              -14.603503               -7.062134            -0.000001            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000002                   2.457570                2.097429              2.683213             2.912142               2.822799               0.228929              2.808119         19.542364       33.970717        8.940380      13.714356         -12.152161            
   O        8      14     22          -170.486446              -17.423602               -5.724985            -0.000001            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000002                   2.396408                2.035074              2.699206             3.025360               2.910990               0.326154              2.823405         22.517739       40.134280        8.079169      12.025834         -17.696550            
   O        8      16     24          -178.908577              -19.808948               -3.282775             0.000000             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.348128                2.142164              2.726057             3.170450               3.029570               0.444394              2.828637         24.951405       45.183071        6.299685       8.422132         -20.256411            
   O        8      18     26          -180.984737              -21.934349               -1.337797             0.000000             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.363978                1.675568              2.768815             3.328065               3.166525               0.559251              2.869867         27.084127       49.551022        2.946946       2.076160         -18.959230            
   O        8      20     28          -181.364441              -23.885996               -0.532236            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.378885                1.759038              2.811099             3.462269               3.289401               0.651171              2.910684         29.019364       53.502609        1.907155       0.379705         -21.630726            
   O        8      22     30          -180.141542              -25.592452                0.027136            -0.000001            -0.000002              -0.000002              -0.000001                  -0.000006                     -0.000007                   2.385680                1.665657              2.844048             3.594743               3.410751               0.750695              2.942518         30.316929       56.145026        1.100898      -1.222900         -23.979710            
   O        8      24     32          -178.359914              -27.068130                0.277249            -0.000003            -0.000007              -0.000006              -0.000003                  -0.000028                     -0.000030                   2.372598                1.644650              2.869493             3.728044               3.533020               0.858552              2.947489         31.470487       58.518006        0.764340      -1.781628         -26.063398            
   O        8      26     34          -176.658086              -28.429404                0.384268            -0.000006            -0.000012              -0.000012              -0.000005                  -0.000060                     -0.000066                   2.361871                1.609727              2.892254             3.851971               3.648935               0.959717              2.969653         32.743679       61.128350        0.776275      -1.701829         -28.516178            
   O        8      28     36          -175.138637              -29.701938                0.479366            -0.000002            -0.000004              -0.000004              -0.000002                  -0.000021                     -0.000023                   2.350012                1.552315              2.913770             3.962893               3.755170               1.049124              2.990612         34.126936       63.960962        0.821297      -1.519450         -31.308901            
   O        8      30     38          -173.695598              -30.875079                0.647712            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000007                     -0.000008                   2.339572                1.484189              2.934160             4.068596               3.857592               1.134437              3.010481         35.486534       66.744796        0.796733      -1.443039         -34.217923            
   O        8      32     40          -172.218894              -31.894428                1.084224            -0.000001             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   2.336987                1.496172              2.953282             4.182168               3.966963               1.228886              3.009897         36.845695       69.512783        0.751829      -1.476704         -36.968092            
