Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
100    128    228    -1.677685           -1685.731214        -1684.053529        0.114841       0.040752       0.0            0.040752       
100    130    230    -2.771575           -1704.028309        -1701.256734        0.161825       0.087002       -0.283545      0.370547       
100    132    232    -2.330676           -1722.140088        -1719.809412        0.190709       0.113667       0.30972        -0.196053      
100    134    234    -0.818346           -1738.946877        -1738.128531        0.208577       0.148215       0.287412       -0.139197      
100    184    284    -0.188844           -2025.615832        -2025.426988        0.054462       0.006971       -0.0           0.006971       
100    186    286    -1.116535           -2030.961859        -2029.845324        0.094739       0.025149       -0.0           0.025149       
100    188    288    -2.763217           -2036.392677        -2033.62946         0.128262       0.052051       -0.043307      0.095358       
100    194    294    -2.884498           -2051.460609        -2048.576111        0.186579       0.100605       0.136991       -0.036386      
100    196    296    -1.508376           -2055.125996        -2053.61762         0.204291       0.128259       0.160486       -0.032227      
100    198    298    -0.515849           -2058.903528        -2058.387679        0.210811       0.16452        0.176806       -0.012286      
100    234    334    -0.011277           -2095.594121        -2095.582844        0.031339       -0.158754      -0.165145      0.006391       
100    236    336    -0.010799           -2096.234421        -2096.223622        0.030043       -0.155621      -0.161708      0.006087       
100    238    338    -0.009771           -2096.642741        -2096.63297         0.027179       -0.151718      -0.156953      0.005235       
100    240    340    -0.001043           -2096.783183        -2096.78214         0.021983       -0.146885      -0.150541      0.003656       
100    242    342    -0.000629           -2096.698372        -2096.697743        0.010001       -0.141499      -0.142317      0.000818       
100    250    350    -0.003381           -2095.091151        -2095.08777         0.010548       -0.087248      -0.08959       0.002342       
100    260    360    -0.184675           -2091.305894        -2091.121219        0.046854       0.007827       -5.5e-05       0.007882       
100    262    362    -1.21341            -2088.672406        -2087.458996        0.085882       0.031951       -0.001678      0.033629       
100    264    364    -2.059658           -2086.61799         -2084.558332        0.110054       0.055801       0.060952       -0.005151      
102    128    230    -1.473653           -1681.824847        -1680.351194        0.11509        0.032841       -0.003024      0.035865       
102    130    232    -1.761533           -1701.055304        -1699.293771        0.170638       0.088942       -0.283088      0.37203        
102    132    234    -2.482594           -1720.092481        -1717.609887        0.19753        0.113566       -0.291171      0.404737       
102    134    236    -0.132561           -1737.713969        -1737.581408        0.206996       0.155933       0.319665       -0.163732      
102    182    284    -0.047426           -2034.515975        -2034.468549        0.025211       0.002086       -0.0           0.002086       
102    184    286    -0.253174           -2042.340268        -2042.087094        0.061864       0.004652       -0.0           0.004652       
102    186    288    -1.095947           -2048.214804        -2047.118857        0.097038       0.019704       -0.0           0.019704       
102    188    290    -2.492248           -2054.179444        -2051.687196        0.133957       0.050871       -0.048785      0.099656       
102    190    292    -3.738302           -2060.710007        -2056.971705        0.163364       0.076892       -0.074904      0.151796       
102    192    294    -3.637289           -2066.557056        -2062.919767        0.181094       0.088744       0.124613       -0.035869      
102    194    296    -2.576055           -2071.416316        -2068.840261        0.192823       0.099186       0.153732       -0.054546      
102    196    298    -0.955986           -2075.60762         -2074.651634        0.207625       0.12604        0.17382        -0.04778       
102    214    316    -0.004081           -2113.097516        -2113.093435        0.073386       0.256546       0.244799       0.011747       
102    226    328    -0.001332           -2124.463577        -2124.462245        0.075305       0.245719       0.231432       0.014287       
102    228    330    -0.007617           -2125.316867        -2125.30925         0.07417        0.24162        0.227126       0.014494       
102    230    332    -0.006093           -2125.947457        -2125.941364        0.072768       0.236556       0.22174        0.014816       
102    232    334    -0.001393           -2126.321548        -2126.320155        0.07043        0.229301       0.214986       0.014315       
102    234    336    -0.004362           -2126.488439        -2126.484077        0.054965       0.210733       0.203587       0.007146       
102    240    342    -0.009237           -2128.667971        -2128.658734        0.028114       -0.14918       -0.154861      0.005681       
102    242    344    -0.000288           -2128.956734        -2128.956446        0.018677       -0.143498      -0.146228      0.00273        
102    260    362    -0.280629           -2126.343869        -2126.06324         0.057123       0.008952       0.000764       0.008188       
102    262    364    -1.274125           -2124.000752        -2122.726627        0.090567       0.030358       0.001508       0.02885        
102    264    366    -2.220276           -2122.440205        -2120.219929        0.117433       0.056465       0.064028       -0.007563      
104    182    286    -0.015552           -2049.494918        -2049.479366        0.015573       -0.000696      -0.0           -0.000696      
104    184    288    -0.186201           -2057.772304        -2057.586103        0.057882       -0.000327      -0.0           -0.000327      
104    186    290    -0.86312            -2064.117832        -2063.254712        0.091942       0.01015        -0.0           0.01015        
104    188    292    -2.114652           -2070.553451        -2068.438799        0.135922       0.047787       -0.049337      0.097124       
104    190    294    -3.346688           -2077.691404        -2074.344716        0.167797       0.075175       -0.079571      0.154746       
104    192    296    -3.274036           -2084.171238        -2080.897202        0.180463       0.083256       0.13605        -0.052794      
104    194    298    -1.717603           -2089.661268        -2087.943665        0.191639       0.090859       0.337295       -0.246436      
104    196    300    -0.362911           -2094.339316        -2093.976405        0.206287       0.11591        0.325485       -0.209575      
104    212    316    -0.002782           -2134.451956        -2134.449174        0.07128        0.250278       0.238245       0.012033       
104    214    318    -0.014809           -2138.136128        -2138.121319        0.075135       0.25532        0.242536       0.012784       
104    216    320    -0.018031           -2141.57777         -2141.559739        0.077447       0.258559       0.245345       0.013214       
104    236    340    -0.028148           -2157.126293        -2157.098145        0.054067       0.188113       0.177272       0.010841       
104    238    342    -0.018722           -2158.226085        -2158.207363        0.036468       -0.155581      -0.164266      0.008685       
104    240    344    -0.012517           -2159.149763        -2159.137246        0.031497       -0.150337      -0.157226      0.006889       
104    260    364    -0.243401           -2160.243869        -2160.000468        0.056657       0.006647       0.001228       0.005419       
104    262    366    -1.144912           -2158.161333        -2157.016421        0.091457       0.026831       0.004313       0.022518       
104    264    368    -2.217245           -2157.001685        -2154.78444         0.120636       0.053929       0.063724       -0.009795      
106    184    290    -0.05924            -2071.978184        -2071.918944        0.042158       -0.00283       -0.0           -0.00283       
106    186    292    -0.569324           -2078.780716        -2078.211392        0.084463       0.004505       -0.0           0.004505       
106    188    294    -1.696556           -2085.669365        -2083.972809        0.132985       0.041797       -0.122733      0.16453        
106    190    296    -2.770549           -2093.304656        -2090.534107        0.165539       0.068518       -0.125039      0.193557       
106    192    298    -2.924788           -2100.372727        -2097.447939        0.180438       0.076852       0.145064       -0.068212      
106    212    318    -0.002642           -2157.284922        -2157.28228         0.071383       0.245655       0.233066       0.012589       
106    214    320    -0.012785           -2161.436042        -2161.423257        0.074252       0.248969       0.235642       0.013327       
106    216    322    -0.02038            -2165.335124        -2165.314744        0.07653        0.251936       0.238071       0.013865       
106    234    340    -0.009277           -2185.529891        -2185.520614        0.055045       0.208115       0.199415       0.0087         
106    236    342    -0.026892           -2186.452935        -2186.426043        0.054772       0.18889        0.177018       0.011872       
106    260    366    -0.149018           -2193.059885        -2192.910867        0.049282       0.004559       0.001301       0.003258       
106    262    368    -0.933646           -2191.244489        -2190.310843        0.08988        0.022836       0.005147       0.017689       
106    264    370    -2.158218           -2190.412898        -2188.25468         0.12102        0.049253       0.059368       -0.010115      
108    186    294    -0.216658           -2092.250195        -2092.033537        0.065228       -0.000876      0.0            -0.000876      
108    212    320    -0.012494           -2178.232938        -2178.220444        0.072838       0.245283       0.231876       0.013407       
108    214    322    -0.021878           -2182.985688        -2182.96381         0.074531       0.245755       0.231706       0.014049       
108    216    324    -0.021529           -2187.463508        -2187.441979        0.075882       0.246477       0.232072       0.014405       
108    242    350    -0.870928           -2218.987783        -2218.116855        0.173818       0.404045       0.134317       0.269728       
108    244    352    0.005127            -2220.35398         -2220.359107        0.174226       0.404732       0.382307       0.022425       
108    246    354    0.003677            -2221.566398        -2221.570075        0.173993       0.40522        0.383349       0.021871       
108    248    356    0.004581            -2222.586747        -2222.591328        0.173242       0.405611       0.384359       0.021252       
108    262    370    -0.657389           -2223.256503        -2222.599114        0.085212       0.020007       0.004027       0.01598        
108    264    372    -1.927189           -2222.761534        -2220.834345        0.119832       0.04472        -0.044485      0.089205       
108    266    374    -2.611468           -2222.170281        -2219.558813        0.135754       0.055145       0.07883        -0.023685      
108    268    376    -2.389379           -2221.100064        -2218.710685        0.146629       0.062301       0.099168       -0.036867      
108    270    378    -1.662564           -2219.619278        -2217.956714        0.159546       0.080086       0.115972       -0.035886      
108    272    380    -0.463845           -2218.004981        -2217.541136        0.169796       0.094384       0.347231       -0.252847      
110    198    308    -5.717688           -2153.27292         -2147.555232        0.023393       0.36688        -0.308139      0.675019       
110    200    310    -5.682512           -2160.078499        -2154.395987        0.130634       0.371167       -0.301088      0.672255       
110    214    324    -0.012095           -2202.943741        -2202.931646        0.076647       0.248469       0.233867       0.014602       
110    244    354    0.007934            -2247.716331        -2247.724265        0.179277       0.412367       0.38865        0.023717       
110    246    356    0.014196            -2249.41644         -2249.430636        0.179946       0.410782       0.387399       0.023383       
110    248    358    0.025322            -2250.935298        -2250.96062         0.179981       0.410097       0.387129       0.022968       
110    250    360    0.02132             -2252.188135        -2252.209455        0.178614       0.409652       0.387362       0.02229        
110    252    362    0.031727            -2253.072294        -2253.104021        0.032431       0.388089       0.387494       0.000595       
110    262    372    -0.300046           -2254.180944        -2253.880898        0.073177       0.018169       0.002574       0.015595       
110    264    374    -1.629785           -2254.036821        -2252.407036        0.116907       0.041849       -0.039877      0.081726       
110    266    376    -2.4948             -2253.840966        -2251.346166        0.133817       0.050541       -0.057391      0.107932       
110    268    378    -2.528196           -2253.193226        -2250.66503         0.144885       0.054279       0.091267       -0.036988      
110    270    380    -1.800962           -2252.00446         -2250.203498        0.153669       0.055072       0.107864       -0.052792      
110    276    386    -0.000369           -2248.870811        -2248.870442        0.032631       0.339664       0.338519       0.001145       
112    158    270    -0.004988           -1943.225656        -1943.220668        0.071374       0.246622       0.233857       0.012765       
112    194    306    -4.153204           -2151.790507        -2147.637303        0.085697       0.394821       0.11973        0.275091       
112    200    312    -6.075309           -2175.162754        -2169.087445        0.137577       0.381964       -0.245299      0.627263       
112    214    326    0.001089            -2221.481678        -2221.482767        0.079824       0.256413       0.241622       0.014791       
112    248    360    0.026337            -2277.596032        -2277.622369        0.18149        0.419567       0.396408       0.023159       
