Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
106    212    318    -2157.28228             40.472097      0.0            4415      YES            
106    214    320    -2161.423257            41.388155      0.0            4432      YES            
106    216    322    -2165.314744            42.276464      0.0            4449      YES            
106    234    340    -2185.520614            39.008934      0.0            4464      YES            
106    236    342    -2186.426043            34.915384      0.0            4481      YES            
106    238    344    -2187.321792            31.333843      0.0            4498      YES            
106    240    346    -2188.280524            -31.645776     0.0            4510      YES            
106    242    348    -2189.415593            -29.946935     0.0            4527      YES            
106    260    366    -2192.910867            0.27994        0.0            4546      YES            
106    262    368    -2190.310843            1.131348       0.0            4563      YES            
106    264    370    -2188.25468             13.408261      0.0            4585      YES            
108    186    294    -2092.033537            0.0            0.0            4599      YES            
108    188    296    -2098.276017            -18.873528     0.0            4613      YES            
108    190    298    -2105.489787            -19.22191      0.0            4631      YES            
108    192    300    -2112.64921             21.197718      0.0            4651      YES            
108    194    302    -2118.76857             -31.638438     0.0            4662      YES            
108    196    304    -2125.206953            -48.641916     0.0            4677      YES            
108    198    306    -2131.759857            -48.710084     0.0            4695      YES            
108    212    320    -2178.220444            40.613845      0.0            4721      YES            
108    214    322    -2182.96381             41.043852      0.0            4738      YES            
108    216    324    -2187.441979            41.554022      0.0            4760      YES            
108    242    350    -2218.116855            27.404784      0.0            4774      YES            
108    262    370    -2222.599114            0.894609       0.0            4784      YES            
108    264    372    -2220.834345            -10.093083     0.0            4801      YES            
108    266    374    -2219.558813            18.180437      0.0            4823      YES            
108    268    376    -2218.710685            23.194685      0.0            4840      YES            
108    270    378    -2217.956714            27.470923      0.0            4857      YES            
108    272    380    -2217.541136            86.5241        0.0            4876      YES            
110    188    298    -2111.403217            -0.0           0.0            4888      YES            
110    190    300    -2119.062867            -18.852842     0.0            4902      YES            
110    192    302    -2126.499483            17.6079        0.0            4923      YES            
110    194    304    -2134.604419            23.266946      0.0            4940      YES            
110    196    306    -2140.616038            -56.762502     0.0            4948      YES            
110    198    308    -2147.555232            -51.517586     0.0            4966      YES            
110    200    310    -2154.395987            -50.81823      0.0            4984      YES            
110    214    324    -2202.931646            41.788572      0.0            5015      YES            
110    262    372    -2253.880898            0.580423       0.0            5022      YES            
110    264    374    -2252.407036            -9.100187      0.0            5039      YES            
110    266    376    -2251.346166            -13.300521     0.0            5056      YES            
110    268    378    -2250.66503             21.409932      0.0            5078      YES            
110    270    380    -2250.203498            25.632072      0.0            5095      YES            
