Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
106    186    292    -0.456035           -2060.437509        -2059.981474        0.081189       -0.000606      0.000364       -0.00097       
106    188    294    -0.416247           -2065.299228        -2064.882981        0.114636       0.033977       0.393493       -0.359516      
106    190    296    0.001904            -2071.703195        -2071.705099        0.086346       0.385408       0.379897       0.005511       
106    192    298    0.002653            -2078.334567        -2078.33722         0.055013       0.368798       0.367034       0.001764       
106    258    364    -0.005747           -2138.217326        -2138.211579        0.026331       -0.000311      0.000583       -0.000894      
106    260    366    -0.247506           -2134.535337        -2134.287831        0.064938       0.014094       0.001682       0.012412       
106    262    368    -0.918292           -2130.466767        -2129.548475        0.100159       0.030202       0.004466       0.025736       
106    264    370    -2.122595           -2127.422123        -2125.299528        0.130291       0.055871       0.053328       0.002543       
108    186    294    -0.100214           -2074.680442        -2074.580228        0.056654       0.005804       0.000314       0.00549        
108    188    296    0.01944             -2080.247687        -2080.267127        0.120201       0.409824       0.399769       0.010055       
108    190    298    0.014505            -2087.646203        -2087.660708        0.089019       0.394207       0.388456       0.005751       
108    192    300    0.014425            -2094.881848        -2094.896273        0.059011       0.381723       0.379403       0.00232        
108    194    302    0.01367             -2101.84531         -2101.85898         0.040069       0.370031       0.369461       0.00057        
108    260    368    -0.029016           -2168.337666        -2168.30865         0.042206       -0.000167      0.001683       -0.00185       
108    262    370    -0.551346           -2164.537658        -2163.986312        0.094462       0.028142       0.004766       0.023376       
108    264    372    -0.587755           -2161.85241         -2161.264655        0.12831        0.052783       0.384183       -0.3314        
108    266    374    -0.293936           -2159.021835        -2158.727899        0.144642       0.062812       0.378632       -0.31582       
110    188    298    0.022586            -2093.974954        -2093.99754         0.134241       0.419681       0.407968       0.011713       
110    190    300    0.018467            -2102.036919        -2102.055386        0.108027       0.404618       0.396325       0.008293       
110    194    304    0.020002            -2117.63108         -2117.651082        0.040661       0.381858       0.380971       0.000887       
