Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
110    194    304    -0.080544           -2135.060173        -2134.979629        0.0891         0.141187       0.148154       -0.006967      
110    264    374    -0.411954           -2261.542121        -2261.130167        0.094399       0.037108       0.047958       -0.01085       
110    266    376    -0.769596           -2260.880201        -2260.110605        0.120371       0.062296       0.077507       -0.015211      
110    268    378    -0.846027           -2260.080166        -2259.234139        0.134203       0.080389       0.100068       -0.019679      
110    270    380    -0.551702           -2259.122792        -2258.57109         0.132933       0.104729       0.120285       -0.015556      
110    272    382    -0.277647           -2258.356661        -2258.079014        0.101114       0.135793       0.138393       -0.0026        
112    190    302    -0.813027           -2132.244713        -2131.431686        0.136946       0.058003       0.069562       -0.011559      
112    192    304    -0.237419           -2140.273273        -2140.035854        0.155845       0.071976       -0.34823       0.420206       
112    194    306    -0.245834           -2148.089755        -2147.843921        0.109646       0.130827       0.130424       0.000403       
112    196    308    -0.20165            -2156.364549        -2156.162899        0.079222       -0.344649      0.159714       -0.504363      
112    198    310    -0.092784           -2163.096608        -2163.003824        0.0721         -0.244385      -0.250019      0.005634       
112    216    328    0.008863            -2228.124513        -2228.133376        0.024055       0.246449       0.245141       0.001308       
112    264    376    -0.181377           -2291.131508        -2290.950131        0.088156       0.03594        0.002077       0.033863       
112    266    378    -0.77101            -2290.827548        -2290.056538        0.116113       0.05417        0.066789       -0.012619      
112    268    380    -0.855422           -2290.233987        -2289.378565        0.135184       0.071778       0.09054        -0.018762      
112    270    382    -0.602469           -2289.509815        -2288.907346        0.133766       0.097018       0.111206       -0.014188      
112    272    384    -0.192654           -2288.818422        -2288.625768        0.121242       0.126171       0.13044        -0.004269      
114    190    304    -0.489749           -2142.934019        -2142.44427         0.116287       0.058655       -0.053866      0.112521       
114    192    306    -0.64632            -2151.47463         -2150.82831         0.133223       0.078629       0.08853        -0.009901      
114    194    308    -0.39521            -2159.832223        -2159.437013        0.112655       0.114675       0.113235       0.00144        
114    196    310    -0.058733           -2168.127314        -2168.068581        0.080715       0.132989       0.13647        -0.003481      
