Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
88     196    284    -1.504384           -1916.953978        -1915.449594        0.181497       0.148668       0.145846       0.002822       
88     198    286    -0.747378           -1918.223625        -1917.476247        0.167595       0.165913       0.163536       0.002377       
88     200    288    -0.304908           -1919.725733        -1919.420825        0.096854       0.179853       0.177538       0.002315       
88     202    290    -0.132267           -1921.293881        -1921.161614        0.046687       0.189511       0.188542       0.000969       
88     204    292    -0.055789           -1922.572485        -1922.516696        0.024188       0.196885       0.196399       0.000486       
90     128    218    -1.185141           -1666.212601        -1665.02746         0.103217       0.081632       -0.0           0.081632       
90     130    220    -2.949231           -1681.659125        -1678.709894        0.155015       0.120373       0.113563       0.00681        
90     132    222    -3.047873           -1695.8998          -1692.851927        0.18948        0.148299       0.153187       -0.004888      
90     134    224    -2.25469            -1709.651701        -1707.397011        0.215133       0.176186       0.183619       -0.007433      
90     136    226    -0.941692           -1722.563478        -1721.621786        0.228744       0.198751       0.206339       -0.007588      
90     138    228    -0.18851            -1735.157601        -1734.969091        0.220688       0.221572       0.221925       -0.000353      
90     140    230    -0.023318           -1747.720065        -1747.696747        0.072844       0.232998       0.232772       0.000226       
90     156    246    -0.006061           -1829.506654        -1829.500593        0.063673       0.242308       0.231949       0.010359       
90     158    248    -0.012576           -1838.13824         -1838.125664        0.069564       0.236401       0.222969       0.013432       
90     160    250    -0.018532           -1846.543099        -1846.524567        0.06954        0.227589       0.212649       0.01494        
90     162    252    -0.016337           -1854.553773        -1854.537436        0.06436        0.21472        0.19987        0.01485        
90     190    280    -1.385878           -1937.79383         -1936.407952        0.135544       0.093596       0.0            0.093596       
90     192    282    -2.498457           -1940.377711        -1937.879254        0.166324       0.116831       8.9e-05        0.116742       
90     194    284    -2.541458           -1942.824171        -1940.282713        0.186391       0.140363       0.140874       -0.000511      
90     196    286    -1.587834           -1945.117512        -1943.529678        0.195214       0.158427       0.16788        -0.009453      
90     198    288    -0.679935           -1947.213686        -1946.533751        0.191013       0.176435       0.184139       -0.007704      
90     222    312    -0.004104           -1959.538888        -1959.534784        0.045717       0.214288       0.20782        0.006468       
90     224    314    -0.005069           -1959.133658        -1959.128589        0.059195       0.213813       0.203047       0.010766       
92     128    220    -1.538573           -1668.340053        -1666.80148         0.115436       0.083898       0.002099       0.081799       
92     130    222    -3.089287           -1684.672948        -1681.583661        0.165139       0.124337       0.13099        -0.006653      
92     132    224    -2.702633           -1700.015833        -1697.3132          0.200189       0.15618        0.17697        -0.02079       
92     134    226    -1.484704           -1714.992058        -1713.507354        0.226231       0.190225       0.211727       -0.021502      
92     136    228    -0.11893            -1729.267039        -1729.148109        0.238032       0.215859       0.229237       -0.013378      
92     158    250    -0.004072           -1854.1598          -1854.155728        0.067643       0.247986       0.236706       0.01128        
92     162    254    -0.017771           -1871.413253        -1871.395482        0.07114        0.229574       0.214143       0.015431       
92     164    256    -0.021648           -1879.400097        -1879.378449        0.06848        0.216025       0.199487       0.016538       
92     190    282    -1.80552            -1962.315015        -1960.509495        0.144895       0.092086       3.6e-05        0.09205        
92     192    284    -3.008107           -1965.529235        -1962.521128        0.17319        0.114075       7.7e-05        0.113998       
92     194    286    -2.483788           -1968.606915        -1966.123127        0.195223       0.142081       0.16526        -0.023179      
92     196    288    -1.495538           -1971.722004        -1970.226466        0.205769       0.16424        0.185803       -0.021563      
92     198    290    -0.586706           -1974.657553        -1974.070847        0.204124       0.185359       0.199771       -0.014412      
92     226    318    -0.002174           -1993.074192        -1993.072018        0.049719       0.217528       0.209185       0.008343       
92     230    322    -0.008715           -1992.492019        -1992.483304        0.061654       0.206461       0.189273       0.017188       
94     128    222    -1.726343           -1669.151372        -1667.425029        0.121708       0.077995       0.0            0.077995       
94     130    224    -2.723076           -1686.057952        -1683.334876        0.16898        0.119383       0.146906       -0.027523      
94     132    226    -1.948693           -1702.141755        -1700.193062        0.207637       0.160062       0.215244       -0.055182      
94     134    228    -1.01538            -1718.31131         -1717.29593         0.230455       0.210448       0.237014       -0.026566      
94     136    230    -0.488766           -1734.270111        -1733.781345        0.219638       0.240921       0.244389       -0.003468      
94     138    232    -0.464141           -1749.925605        -1749.461464        0.110272       0.251681       0.252629       -0.000948      
94     140    234    -0.288844           -1764.683414        -1764.39457         0.092248       0.261096       0.261641       -0.000545      
94     142    236    -0.058974           -1778.567703        -1778.508729        0.0594         0.268716       0.268545       0.000171       
94     160    254    -0.005377           -1878.226475        -1878.221098        0.067467       0.2518         0.240737       0.011063       
94     188    282    -1.304147           -1981.002337        -1979.69819         0.114479       0.061099       0.000196       0.060903       
94     190    284    -3.218483           -1985.60095         -1982.382467        0.150472       0.085357       -0.000158      0.085515       
94     192    286    -4.147308           -1989.370018        -1985.22271         0.174374       0.101812       0.122285       -0.020473      
94     194    288    -2.097599           -1992.618536        -1990.520937        0.197838       0.131052       0.195845       -0.064793      
94     196    290    -0.736968           -1996.065834        -1995.328866        0.212002       0.162308       0.204002       -0.041694      
94     198    292    -0.098843           -2000.004066        -1999.905223        0.0611         0.209585       0.211582       -0.001997      
94     230    324    -0.013259           -2026.424201        -2026.410942        0.066274       0.213062       0.196189       0.016873       
94     232    326    -0.012937           -2026.412618        -2026.399681        0.062656       0.200981       0.181302       0.019679       
94     234    328    -0.003836           -2026.289519        -2026.285683        0.060239       0.190567       0.169576       0.020991       
96     126    222    -0.174922           -1652.03108         -1651.856158        0.071246       0.021652       0.0            0.021652       
96     128    224    -1.917434           -1668.783885        -1666.866451        0.127746       0.068584       -0.0           0.068584       
96     130    226    -2.081693           -1686.135786        -1684.054093        0.172586       0.109397       0.282762       -0.173365      
96     132    228    -0.700497           -1702.900448        -1702.199951        0.212398       0.156468       0.267406       -0.110938      
96     138    234    -0.023486           -1753.79017         -1753.766684        0.03169        0.26072        0.260728       -8e-06         
96     160    256    -0.000922           -1892.214112        -1892.21319         0.048328       0.25853        0.253338       0.005192       
96     162    258    -0.00544            -1901.441968        -1901.436528        0.065696       0.252499       0.242088       0.010411       
96     182    278    -0.047794           -1984.857116        -1984.809322        0.024541       0.007292       0.000565       0.006727       
96     184    280    -0.084665           -1992.143636        -1992.058971        0.044463       0.008327       1.8e-05        0.008309       
96     186    282    -0.92011            -1997.036151        -1996.116041        0.089365       0.034798       0.000238       0.03456        
96     188    284    -2.817594           -2002.26501         -1999.447416        0.127966       0.06116        0.000586       0.060574       
96     190    286    -4.814362           -2007.529784        -2002.715422        0.15543        0.078857       0.000229       0.078628       
96     192    288    -4.121355           -2011.960843        -2007.839488        0.144054       0.087518       0.249117       -0.161599      
96     194    290    -2.066224           -2015.399253        -2013.333029        0.162119       0.109908       0.241511       -0.131603      
96     196    292    -0.409108           -2019.057671        -2018.648563        0.217018       0.156149       0.235041       -0.078892      
96     234    330    -0.000971           -2059.615384        -2059.614413        0.069329       0.199834       0.17946        0.020374       
96     256    352    -0.007189           -2060.141519        -2060.13433         0.027002       0.004883       0.00048        0.004403       
96     258    354    -0.032193           -2059.668487        -2059.636294        0.040175       0.007237       0.000485       0.006752       
96     260    356    -0.43549            -2057.481373        -2057.045883        0.060389       0.021844       0.00082        0.021024       
96     262    358    -1.469125           -2055.109106        -2053.639981        0.082825       0.039346       0.001528       0.037818       
98     126    224    -0.52586            -1649.86187         -1649.33601         0.085255       0.021354       0.0            0.021354       
98     128    226    -1.756678           -1667.268358        -1665.51168         0.127626       0.055329       0.32504        -0.269711      
98     130    228    -0.55956            -1685.058018        -1684.498458        0.172142       0.097318       0.312205       -0.214887      
98     162    260    -0.001338           -1914.499709        -1914.498371        0.049119       0.259124       0.253865       0.005259       
98     164    262    -0.006303           -1923.604171        -1923.597868        0.067666       0.248061       0.236691       0.01137        
98     166    264    -0.017954           -1932.557224        -1932.53927         0.069763       0.227677       0.21228        0.015397       
98     182    280    -0.59181            -2002.260376        -2001.668566        0.065073       0.024887       0.001558       0.023329       
98     184    282    -0.590209           -2010.040387        -2009.450178        0.082764       0.024427       0.000209       0.024218       
98     186    284    -1.80068            -2015.887835        -2014.087155        0.109282       0.037131       0.000377       0.036754       
98     188    286    -3.73944            -2021.732436        -2017.992996        0.13747        0.058022       0.001289       0.056733       
98     190    288    -4.487396           -2027.636797        -2023.149401        0.135464       0.073124       0.330593       -0.257469      
98     192    290    -3.743              -2032.821707        -2029.078707        0.147702       0.08176        0.277705       -0.195945      
98     194    292    -1.882649           -2036.939719        -2035.05707         0.157577       0.091035       0.267323       -0.176288      
98     196    294    -0.157361           -2040.959367        -2040.802006        0.221596       0.152872       0.259409       -0.106537      
98     256    354    -0.434903           -2094.99397         -2094.559067        0.060274       0.022139       0.001197       0.020942       
98     258    356    -0.442082           -2094.811017        -2094.368935        0.071209       0.015618       0.000904       0.014714       
98     260    358    -1.176914           -2093.312207        -2092.135293        0.084521       0.028625       0.001509       0.027116       
98     262    360    -2.403145           -2091.497685        -2089.09454         0.101643       0.043105       0.003527       0.039578       
100    126    226    -0.745118           -1646.40585         -1645.660732        -0.089194      0.017655       0.0            0.017655       
100    128    228    -0.969458           -1664.396348        -1663.42689         0.124287       0.041724       0.348248       -0.306524      
100    162    262    -0.000467           -1925.811686        -1925.811219        0.027582       0.258852       0.257242       0.00161        
100    164    264    -0.007041           -1935.61778         -1935.610739        0.066662       0.249053       0.238197       0.010856       
100    166    266    -0.013602           -1945.21325         -1945.199648        0.070227       0.232116       0.217306       0.01481        
100    168    268    -0.023276           -1954.678892        -1954.655616        0.06829        0.216775       0.19981        0.016965       
100    182    282    -0.712416           -2018.280238        -2017.567822        0.07715        0.02369        -0.032074      0.055764       
100    184    284    -0.998288           -2026.693937        -2025.695649        0.094997       0.021053       0.000266       0.020787       
100    186    286    -2.24012            -2033.141705        -2030.901585        0.11604        0.029949       0.000501       0.029448       
100    188    288    -3.458406           -2039.41061         -2035.952204        0.130397       0.045398       0.348587       -0.303189      
100    190    290    -3.041512           -2045.875855        -2042.834343        0.166927       0.070895       0.346716       -0.275821      
100    192    292    -2.441193           -2051.809043        -2049.36785         0.154735       0.081525       0.34423        -0.262705      
100    194    294    -1.29811            -2056.669626        -2055.371516        0.163636       0.087384       0.330605       -0.243221      
100    196    296    -0.022583           -2061.454072        -2061.431489        0.224923       0.15239        0.277513       -0.125123      
100    256    356    -0.711065           -2128.699235        -2127.98817         0.074233       0.021951       0.001979       0.019972       
100    258    358    -0.806084           -2128.900348        -2128.094264        0.083247       0.020512       0.001204       0.019308       
100    260    360    -1.573824           -2127.80014         -2126.226316        0.09621        0.026523       0.002102       0.024421       
100    262    362    -2.767741           -2126.327731        -2123.55999         0.111288       0.039458       -0.008972      0.04843        
100    264    364    -3.578609           -2125.095186        -2121.516577        0.126155       0.055766       0.0562         -0.000434      
