Z      N      A      Binding_Energy_(MeV)    Q20_T          Q30_T          fileID                Convergence    
30     60     90     -694.573984             3.179025       0.002554       blockblock1b-006177   YES            
30     62     92     -696.121907             -4.017426      -0.000112      blockblock1b-006290   YES            
30     64     94     -697.051003             -4.170592      0.001959       blockblock1b-006338   YES            
30     66     96     -697.41027              6.714798       0.002473       blockblock1b-006448   YES            
30     68     98     -697.693693             6.742173       0.000544       blockblock1b-006519   YES            
30     70     100    -697.471152             6.509374       0.001055       blockblock1b-006593   YES            
30     72     102    -696.987128             6.074124       -0.000482      blockblock1b-006668   YES            
30     74     104    -696.13926              5.574202       0.000155       blockblock1b-006728   YES            
30     76     106    -694.795118             4.871956       -0.000743      blockblock1b-006818   YES            
30     78     108    -692.880003             4.845435       -2.7e-05       blockblock1b-006864   YES            
30     80     110    -690.312468             5.346219       0.00041        blockblock1b-006925   YES            
30     82     112    -687.076256             5.889472       8e-05          blockblock1b-007049   YES            
30     84     114    -683.238705             5.92039        0.001856       blockblock1b-007079   YES            
32     22     54     -381.186742             0.0            0.0            blockblock1b-007133   YES            
32     24     56     -419.402935             1.222145       -0.000207      blockblock1b-007268   YES            
32     26     58     -455.973973             1.445485       -6.5e-05       blockblock1b-007329   YES            
32     28     60     -489.452039             3.5e-05        0.0            blockblock1b-007388   YES            
32     30     62     -517.985662             1.721          -0.000122      blockblock1b-007435   YES            
32     32     64     -543.943847             2.217952       0.004265       blockblock1b-007526   YES            
32     34     66     -568.046067             -2.606875      0.000344       blockblock1b-007597   YES            
32     36     68     -589.50805              -2.513213      -0.000397      blockblock1b-007696   YES            
32     38     70     -609.442378             -2.248943      4e-05          blockblock1b-007772   YES            
32     40     72     -628.422955             0.0            -0.0           blockblock1b-007808   YES            
32     42     74     -645.119756             -0.020246      -8e-06         blockblock1b-007877   YES            
32     44     76     -661.70967              2.173935       0.000871       blockblock1b-007980   YES            
32     46     78     -677.272148             2.635451       0.052124       blockblock1b-008083   YES            
32     48     80     -690.623616             2.35559        0.002533       blockblock1b-008145   YES            
32     50     82     -701.89821              1.801938       -1.4e-05       blockblock1b-008250   YES            
32     52     84     -710.763878             2.555289       0.00533        blockblock1b-008277   YES            
32     54     86     -718.114897             3.401221       0.004169       blockblock1b-008369   YES            
32     56     88     -724.137049             3.962196       0.002103       blockblock1b-008459   YES            
32     58     90     -728.548753             4.237607       -9.8e-05       blockblock1b-008548   YES            
