Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
94     188    282    -0.309883           -1972.656953        -1972.34707         0.05622        0.023434       -0.00054       -0.074351      
94     190    284    -1.694044           -1975.77819         -1974.084146        0.095004       0.049568       -0.0           -1e-06         
94     192    286    -2.175624           -1978.373821        -1976.198197        0.114736       0.061209       -0.04499       -6.332799      
94     194    288    -1.780668           -1980.353995        -1978.573327        0.125928       0.068295       0.075949       10.965473      
94     196    290    -0.955208           -1981.881286        -1980.926078        0.134704       0.082954       0.093198       13.725063      
94     198    292    -0.455325           -1983.501268        -1983.045943        0.169085       0.148331       0.112078       16.796434      
96     128    224    -0.59739            -1688.324544        -1687.727154        0.0776         0.035385       -0.00068       -0.062198      
96     130    226    -3.109547           -1704.843251        -1701.733704        0.134792       0.08212        -0.022735      -2.090572      
96     132    228    -3.240768           -1720.793898        -1717.55313         0.166479       0.108106       0.254149       24.648774      
96     134    230    -0.985298           -1735.530639        -1734.545341        0.193389       0.151393       0.253473       24.988543      
96     186    282    -0.076128           -1991.731419        -1991.655291        0.037369       0.007736       -0.0           -0.0           
96     188    284    -1.871556           -1995.803692        -1993.932136        0.098629       0.047162       -0.0           -1e-06         
96     190    286    -3.212173           -1999.998726        -1996.786553        0.124333       0.065421       -0.050453      -7.036175      
96     192    288    -3.641795           -2003.472857        -1999.831062        0.1413         0.075766       0.080071       11.479196      
96     194    290    -2.933006           -2006.16595         -2003.232944        0.154284       0.085578       0.099836       14.590291      
96     196    292    -1.948681           -2008.365244        -2006.416563        0.167222       0.10295        0.118512       17.648724      
96     198    294    -0.738562           -2010.415456        -2009.676894        0.185468       0.141132       0.170429       25.8536        
98     126    224    -0.127862           -1670.879645        -1670.751783        0.044158       0.007604       -0.0           -0.0           
98     128    226    -1.386108           -1687.923809        -1686.537701        0.105359       0.043982       0.0            1e-06          
98     130    228    -3.320692           -1705.365536        -1702.044844        0.148692       0.083909       -0.072395      -6.767022      
98     132    230    -2.771522           -1722.398068        -1719.626546        0.178246       0.109384       0.286222       28.332228      
98     134    232    -0.897409           -1738.137436        -1737.240027        0.201054       0.1454         0.27338        27.418389      
98     186    284    -0.786622           -2012.147216        -2011.360594        0.081967       0.025132       -0.0           -1e-06         
98     188    286    -2.771411           -2017.010077        -2014.238666        0.117794       0.052339       -0.0           -4e-06         
98     190    288    -3.733164           -2022.018161        -2018.284997        0.142079       0.071315       -0.063625      -9.001665      
98     192    290    -4.024558           -2026.332386        -2022.307828        0.158262       0.082296       0.098666       14.326189      
98     194    292    -3.123718           -2029.767643        -2026.643925        0.172565       0.094329       0.119987       17.754135      
98     196    294    -1.867603           -2032.675918        -2030.808315        0.19           0.11744        0.14629        22.058038      
98     198    296    -0.742394           -2035.591402        -2034.849008        0.203473       0.151673       0.171966       26.417402      
98     232    330    -0.001086           -2063.123657        -2063.122571        0.02045        -0.157855      -0.160665      -30.091182     
98     234    332    -0.003145           -2063.48078         -2063.477635        0.020995       -0.155181      -0.158233      -29.978777     
98     236    334    -0.004634           -2063.673587        -2063.668953        0.019822       -0.151998      -0.154826      -29.660847     
98     238    336    -0.002444           -2063.674983        -2063.672539        0.016156       -0.148155      -0.149965      -29.038017     
98     262    360    -0.793298           -2051.999736        -2051.206438        0.073025       0.029274       0.023831       5.106752       
100    126    226    -0.424707           -1667.839364        -1667.414657        0.072548       0.01615        -0.0           -0.0           
100    128    228    -1.677685           -1685.731214        -1684.053529        0.114841       0.040752       0.0            0.0            
100    130    230    -2.771575           -1704.028309        -1701.256734        0.161825       0.087002       -0.283545      -28.38208      
100    132    232    -2.330676           -1722.140088        -1719.809412        0.190709       0.113667       0.30972        31.276294      
100    134    234    -0.818346           -1738.946877        -1738.128531        0.208577       0.148215       0.287412       29.332798      
100    184    284    -0.188844           -2025.615832        -2025.426988        0.054462       0.006971       -0.0           -0.0           
100    186    286    -1.116535           -2030.961859        -2029.845324        0.094739       0.025149       -0.0           -1e-06         
100    188    288    -2.763217           -2036.392677        -2033.62946         0.128262       0.052051       -0.043307      -6.063097      
100    194    294    -2.884498           -2051.460609        -2048.576111        0.186579       0.100605       0.136991       20.538006      
100    196    296    -1.508376           -2055.125996        -2053.61762         0.204291       0.128259       0.160486       24.48813       
100    198    298    -0.515849           -2058.903528        -2058.387679        0.210811       0.16452        0.176806       27.428457      
100    234    334    -0.011277           -2095.594121        -2095.582844        0.031339       -0.158754      -0.165145      -31.509579     
100    236    336    -0.010799           -2096.234421        -2096.223622        0.030043       -0.155621      -0.161708      -31.196085     
100    238    338    -0.009771           -2096.642741        -2096.63297         0.027179       -0.151718      -0.156953      -30.607105     
100    240    340    -0.001043           -2096.783183        -2096.78214         0.021983       -0.146885      -0.150541      -29.676456     
100    242    342    -0.000629           -2096.698372        -2096.697743        0.010001       -0.141499      -0.142317      -28.355001     
100    250    350    -0.003381           -2095.091151        -2095.08777         0.010548       -0.087248      -0.08959       -18.480285     
100    260    360    -0.184675           -2091.305894        -2091.121219        0.046854       0.007827       -5.5e-05       -0.038802      
100    262    362    -1.21341            -2088.672406        -2087.458996        0.085882       0.031951       -0.001678      -0.401086      
100    264    364    -2.059658           -2086.61799         -2084.558332        0.110054       0.055801       0.060952       13.490335      
102    128    230    -1.473653           -1681.824847        -1680.351194        0.11509        0.032841       -0.003024      -0.288046      
102    130    232    -1.761533           -1701.055304        -1699.293771        0.170638       0.088942       -0.283088      -28.752601     
102    132    234    -1.607191           -1720.092481        -1718.48529         0.19753        0.113566       43.612294      0.0            
102    134    236    -0.132561           -1737.713969        -1737.581408        0.206996       0.155933       0.319665       33.329837      
102    182    284    -0.047426           -2034.515975        -2034.468549        0.025211       0.002086       -0.0           -4.2e-05       
102    184    286    -0.253174           -2042.340268        -2042.087094        0.061864       0.004652       -0.0           -1e-06         
102    186    288    -1.095947           -2048.214804        -2047.118857        0.097038       0.019704       -0.0           -2e-06         
102    188    290    -2.492248           -2054.179444        -2051.687196        0.133957       0.050871       -0.048785      -6.923159      
102    190    292    -3.738302           -2060.710007        -2056.971705        0.163364       0.076892       -0.074904      -10.892002     
102    192    294    -3.637289           -2066.557056        -2062.919767        0.181094       0.088744       0.124613       18.565439      
102    194    296    -2.576055           -2071.416316        -2068.840261        0.192823       0.099186       0.153732       23.314831      
102    196    298    -0.955986           -2075.60762         -2074.651634        0.207625       0.12604        0.17382        26.79556       
102    214    316    -0.004081           -2113.097516        -2113.093435        0.073386       0.256546       0.244799       42.289108      
102    226    328    -0.001332           -2124.463577        -2124.462245        0.075305       0.245719       0.231432       42.897384      
102    228    330    -0.007617           -2125.316867        -2125.30925         0.07417        0.24162        0.227126       42.571708      
102    230    332    -0.006093           -2125.947457        -2125.941364        0.072768       0.236556       0.22174        42.012739      
102    232    334    -0.001393           -2126.321548        -2126.320155        0.07043        0.229301       0.214986       41.159595      
102    234    336    -0.004362           -2126.488439        -2126.484077        0.054965       0.210733       0.203587       39.356477      
102    240    342    -0.009237           -2128.667971        -2128.658734        0.028114       -0.14918       -0.154861      -30.735446     
102    242    344    -0.000288           -2128.956734        -2128.956446        0.018677       -0.143498      -0.146228      -29.332671     
102    260    362    -0.280629           -2126.343869        -2126.06324         0.057123       0.008952       0.000764       0.148908       
102    262    364    -1.274125           -2124.000752        -2122.726627        0.090567       0.030358       0.001508       0.306951       
102    264    366    -2.220276           -2122.440205        -2120.219929        0.117433       0.056465       0.064028       14.297955      
104    182    286    -0.015552           -2049.494918        -2049.479366        0.015573       -0.000696      -0.0           -4.9e-05       
104    184    288    -0.186201           -2057.772304        -2057.586103        0.057882       -0.000327      -0.0           -1e-06         
104    186    290    -0.86312            -2064.117832        -2063.254712        0.091942       0.01015        -0.0           -2e-06         
104    188    292    -2.114652           -2070.553451        -2068.438799        0.135922       0.047787       -0.049337      -7.08592       
104    190    294    -2.662611           -2077.691404        -2075.028793        0.167797       0.075175       56.489883      0.0            
104    192    296    -2.500056           -2084.171238        -2081.671182        0.180463       0.083256       55.252331      0.0            
104    194    298    -1.685835           -2089.661268        -2087.975433        0.191639       0.090859       53.222435      0.0            
104    196    300    -0.33613            -2094.339316        -2094.003186        0.206287       0.11591        51.837045      0.0            
104    212    316    -0.002782           -2134.451956        -2134.449174        0.07128        0.250278       0.238245       40.984686      
104    214    318    -0.014809           -2138.136128        -2138.121319        0.075135       0.25532        0.242536       42.190115      
104    216    320    -0.018031           -2141.57777         -2141.559739        0.077447       0.258559       0.245345       43.16566       
104    236    340    -0.028148           -2157.126293        -2157.098145        0.054067       0.188113       0.177272       34.737884      
104    238    342    -0.018722           -2158.226085        -2158.207363        0.036468       -0.155581      -0.164266      -32.460491     
104    240    344    -0.012517           -2159.149763        -2159.137246        0.031497       -0.150337      -0.157226      -31.401492     
104    260    364    -0.243401           -2160.243869        -2160.000468        0.056657       0.006647       0.001228       0.257855       
104    262    366    -1.144912           -2158.161333        -2157.016421        0.091457       0.026831       0.004313       0.935065       
104    264    368    -2.217245           -2157.001685        -2154.78444         0.120636       0.053929       0.063724       14.321757      
106    184    290    -0.05924            -2071.978184        -2071.918944        0.042158       -0.00283       -0.0           -1e-06         
106    186    292    -0.569324           -2078.780716        -2078.211392        0.084463       0.004505       -0.0           -1e-06         
106    188    294    -0.492404           -2085.669365        -2085.176961        0.132985       0.041797       60.952168      0.0            
106    190    296    -0.700302           -2093.304656        -2092.604354        0.165539       0.068518       59.865907      0.0            
106    192    298    -0.581586           -2100.372727        -2099.791141        0.180438       0.076852       59.009121      0.0            
106    212    318    -0.002642           -2157.284922        -2157.28228         0.071383       0.245655       0.233066       40.472097      
106    214    320    -0.012785           -2161.436042        -2161.423257        0.074252       0.248969       0.235642       41.388155      
106    216    322    -0.02038            -2165.335124        -2165.314744        0.07653        0.251936       0.238071       42.276464      
106    234    340    -0.009277           -2185.529891        -2185.520614        0.055045       0.208115       0.199415       39.008934      
106    236    342    -0.026892           -2186.452935        -2186.426043        0.054772       0.18889        0.177018       34.915384      
106    260    366    -0.149018           -2193.059885        -2192.910867        0.049282       0.004559       0.001301       0.27994        
106    262    368    -0.933646           -2191.244489        -2190.310843        0.08988        0.022836       0.005147       1.131348       
106    264    370    -2.158218           -2190.412898        -2188.25468         0.12102        0.049253       0.059368       13.408261      
108    186    294    0.035801            -2092.250195        -2092.285996        0.065228       -0.000876      63.491143      0.0            
108    212    320    -0.012494           -2178.232938        -2178.220444        0.072838       0.245283       0.231876       40.613845      
108    214    322    -0.021878           -2182.985688        -2182.96381         0.074531       0.245755       0.231706       41.043852      
108    216    324    -0.021529           -2187.463508        -2187.441979        0.075882       0.246477       0.232072       41.554022      
108    242    350    -0.123464           -2218.987783        -2218.864319        0.173818       0.404045       81.613406      0.0            
108    244    352    0.005127            -2220.35398         -2220.359107        0.174226       0.404732       82.702185      0.0            
108    246    354    0.003677            -2221.566398        -2221.570075        0.173993       0.40522        83.862448      0.0            
108    248    356    0.004581            -2222.586747        -2222.591328        0.173242       0.405611       85.030029      0.0            
108    262    370    -0.657389           -2223.256503        -2222.599114        0.085212       0.020007       0.004027       0.894609       
108    264    372    -1.61429            -2222.761534        -2221.147244        0.119832       0.04472        89.456068      0.0            
108    266    374    -1.869645           -2222.170281        -2220.300636        0.135754       0.055145       89.296015      0.0            
108    268    376    -1.743912           -2221.100064        -2219.356152        0.146629       0.062301       89.098177      0.0            
108    270    378    -1.313258           -2219.619278        -2218.30602         0.159546       0.080086       88.847765      0.0            
108    272    380    -0.463845           -2218.004981        -2217.541136        0.169796       0.094384       0.347231       86.5241        
110    198    308    0.046122            -2153.27292         -2153.319042        0.023393       0.36688        61.480861      0.0            
110    200    310    -0.009644           -2160.078499        -2160.068855        0.130634       0.371167       60.041691      0.0            
110    214    324    -0.012095           -2202.943741        -2202.931646        0.076647       0.248469       0.233867       41.788572      
110    244    354    0.007934            -2247.716331        -2247.724265        0.179277       0.412367       84.819301      0.0            
110    246    356    0.014196            -2249.41644         -2249.430636        0.179946       0.410782       85.451398      0.0            
110    248    358    0.025322            -2250.935298        -2250.96062         0.179981       0.410097       86.315526      0.0            
110    250    360    0.02132             -2252.188135        -2252.209455        0.178614       0.409652       87.302176      0.0            
110    252    362    0.031727            -2253.072294        -2253.104021        0.032431       0.388089       88.268893      0.0            
110    262    372    -0.300046           -2254.180944        -2253.880898        0.073177       0.018169       0.002574       0.580423       
110    264    374    -0.987002           -2254.036821        -2253.049819        0.116907       0.041849       90.096075      0.0            
110    266    376    -1.267571           -2253.840966        -2252.573395        0.133817       0.050541       89.850875      0.0            
110    268    378    -1.202767           -2253.193226        -2251.990459        0.144885       0.054279       89.419701      0.0            
110    270    380    -0.69665            -2252.00446         -2251.30781         0.153669       0.055072       88.909042      0.0            
110    276    386    -0.000369           -2248.870811        -2248.870442        0.032631       0.339664       0.338519       86.392946      
112    158    270    -0.004988           -1943.225656        -1943.220668        0.071374       0.246622       0.233857       30.132061      
112    194    306    0.087944            -2151.790507        -2151.878451        0.085697       0.394821       64.827567      0.0            
112    200    312    0.014466            -2175.162754        -2175.17722         0.137577       0.381964       62.6688        0.0            
112    214    326    0.001089            -2221.481678        -2221.482767        0.079824       0.256413       0.241622       43.533538      
112    248    360    0.026337            -2277.596032        -2277.622369        0.18149        0.419567       89.181372      0.0            
112    250    362    0.03369             -2279.305667        -2279.339357        0.065958       0.397515       89.662954      0.0            
112    264    376    -0.82601            -2284.201842        -2283.375832        0.110885       0.041056       91.352373      0.0            
112    266    378    -1.099291           -2284.396129        -2283.296838        0.130005       0.048448       90.866377      0.0            
112    268    380    -1.073714           -2284.181811        -2283.108097        0.14203        0.050321       90.080053      0.0            
112    270    382    -0.617519           -2283.445059        -2282.82754         0.151228       0.046481       89.235122      0.0            
114    240    354    -0.00028            -2294.56308         -2294.5628          0.025872       0.152426       0.147716       30.542863      
114    242    356    -0.000762           -2297.078478        -2297.077716        0.022219       0.138719       0.134453       28.028068      
114    244    358    -0.001289           -2299.40844         -2299.407151        0.017376       0.127158       0.124045       26.071948      
114    264    378    -0.917552           -2313.252519        -2312.334967        0.100402       0.041889       93.25518       0.0            
114    266    380    -1.134327           -2313.790952        -2312.656625        0.12304        0.048708       92.54155       0.0            
114    268    382    -1.126007           -2313.980519        -2312.854512        0.136834       0.049739       91.46022       0.0            
114    270    384    -0.715894           -2313.675426        -2312.959532        0.147372       0.044644       90.308682      0.0            
114    278    392    -0.007411           -2312.328995        -2312.321584        0.119008       0.304496       0.280965       72.068264      
116    162    278    -0.054838           -1975.028537        -1974.973699        0.069129       0.224586       0.209109       28.221162      
116    164    280    -0.004911           -1991.417532        -1991.412621        0.065003       0.216228       0.200117       27.307755      
116    168    284    -0.006141           -2021.049832        -2021.043691        0.063774       0.198074       0.178533       24.814674      
116    170    286    -0.005981           -2035.038682        -2035.032701        0.060104       0.182039       73.056425      0.0            
116    190    306    0.903855            -2153.103602        -2154.007457        0.119886       0.06014        72.783089      0.0            
