Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
110    264    374    -0.201248           -2249.913439        -2249.712191        0.077453       0.01624        0.003762       0.846138       
110    266    376    -0.483204           -2248.777358        -2248.294154        0.11359        0.048138       91.80451       0.0            
112    160    272    0.005981            -1952.217017        -1952.222998        0.071508       0.248733       0.235377       30.521893      
112    162    274    0.024774            -1967.73383         -1967.758604        0.070677       0.244337       0.229793       30.132892      
112    164    276    0.026415            -1982.040732        -1982.067147        0.075207       0.239699       0.222317       29.49244       
112    168    280    -0.00309            -2008.63979         -2008.6367          0.070562       0.219783       0.200349       27.183079      
112    192    304    0.072226            -2137.712265        -2137.784491        0.057299       0.402266       65.752275      0.0            
112    194    306    0.063108            -2146.468974        -2146.532082        0.215001       0.42597        65.295016      0.0            
112    200    312    0.01267             -2170.102392        -2170.115062        0.141691       0.386948       63.029094      0.0            
112    202    314    0.024392            -2177.154596        -2177.178988        0.138584       0.376411       61.616163      0.0            
112    204    316    0.029669            -2183.860294        -2183.889963        0.134637       0.362307       59.447776      0.0            
112    236    348    -0.001029           -2263.330673        -2263.329644        0.01772        0.180363       0.178869       35.908563      
112    266    378    -0.321695           -2279.344215        -2279.02252         0.10628        0.045803       93.301555      0.0            
112    282    394    -0.016472           -2273.644722        -2273.62825         0.08383        0.230069       0.210379       54.016793      
112    284    396    -0.01066            -2272.798614        -2272.787954        0.086214       0.235193       0.21539        55.887021      
112    286    398    -0.009288           -2271.802009        -2271.792721        0.088406       0.239549       0.219547       57.547831      
114    154    268    0.032682            -1899.176111        -1899.208793        0.060399       0.253237       0.243979       30.960996      
114    164    278    -0.000506           -1983.453345        -1983.452839        0.020492       0.212045       0.210369       28.214787      
114    190    304    0.04165             -2139.038247        -2139.079897        0.229714       0.456441       70.154473      0.0            
114    192    306    0.070107            -2148.624492        -2148.694599        0.221118       0.444986       69.066836      0.0            
114    200    314    0.02169             -2182.977313        -2182.999003        0.144898       0.402699       66.874826      0.0            
114    202    316    0.027373            -2190.506206        -2190.533579        0.142713       0.392976       65.605279      0.0            
114    224    338    0.013998            -2261.895463        -2261.909461        0.019722       0.21185        0.210519       40.057567      
114    266    380    -0.516884           -2308.774135        -2308.257251        0.095213       0.044787       0.007158       1.664267       
114    282    396    -0.027734           -2305.384178        -2305.356444        0.08551        0.23161        0.211501       54.540842      
114    284    398    -0.022008           -2304.915322        -2304.893314        0.087813       0.236892       0.21658        56.420779      
114    286    400    -0.020533           -2304.310788        -2304.290255        0.089707       0.241076       0.220634       58.048399      
114    288    402    -0.013936           -2303.53512         -2303.521184        0.091009       0.244039       0.223576       59.402328      
114    290    404    -0.014643           -2302.552201        -2302.537558        0.092036       0.246012       0.225457       60.49365       
114    292    406    -0.009266           -2301.327729        -2301.318463        0.092588       0.247056       0.226468       61.363544      
114    294    408    -0.00566            -2299.879597        -2299.873937        0.092585       0.247356       0.226831       62.059294      
114    296    410    -0.004752           -2298.252151        -2298.247399        0.092577       0.247253       0.226694       62.614332      
116    192    308    -0.059765           -2156.190472        -2156.130707        0.074521       0.074383       -59.884425     0.0            
116    194    310    -0.042439           -2165.924413        -2165.881974        0.086612       -0.347733      -61.282489     0.0            
116    198    314    -0.004661           -2184.056111        -2184.05145         0.094861       -0.352701      -64.011776     0.0            
116    200    316    -0.002259           -2192.487144        -2192.484885        0.098798       -0.355259      -65.447218     0.0            
116    266    382    -0.371077           -2337.044876        -2336.673799        0.083065       0.043722       0.004575       1.06524        
116    268    384    -0.826708           -2336.720063        -2335.893355        0.104951       0.053053       0.035363       8.329446       
116    270    386    -0.682281           -2336.089007        -2335.406726        0.110825       0.061887       0.075226       18.009093      
116    284    400    -0.040755           -2335.736708        -2335.695953        0.087646       0.235283       0.214608       56.139373      
116    286    402    -0.0343             -2335.474349        -2335.440049        0.089479       0.239432       0.218642       57.764372      
