Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total      beta3_total    fileID    Convergence    
92     154    246    -1838.717478            0.246796       27.405483      0.0            7826      YES            
92     156    248    -1847.200207            0.238958       26.889509      0.0            7847      YES            
92     158    250    -1855.449864            0.229647       26.183089      0.0            7868      YES            
92     160    252    -1863.389713            0.2154         24.862776      0.0            7889      YES            
92     162    254    -1871.135588            0.19512        22.78299       0.0            7910      YES            
92     164    256    -1878.776447            0.175852       20.780539      0.0            7930      YES            
92     166    258    -1886.047516            0.159774       19.120008      0.0            7951      YES            
92     168    260    -1893.044518            0.142383       17.248654      0.0            7972      YES            
92     170    262    -1900.203784            -0.0           -0.0           0.0            7991      YES            
92     172    264    -1907.571226            -0.0           -0.0           0.0            8012      YES            
92     174    266    -1914.603017            0.022684       2.850414       0.0            8034      YES            
92     176    268    -1921.425719            -0.026497      -3.376751      0.0            8053      YES            
92     178    270    -1928.058048            0.0            1.9e-05        0.0            8075      YES            
92     180    272    -1934.487819            0.000649       0.084997       0.0            8097      YES            
92     182    274    -1940.719046            -0.000266      -0.035308      0.0            8116      YES            
92     184    276    -1945.837521            0.0            0.0            0.0            8138      YES            
92     186    278    -1947.806435            -0.000235      -0.032025      0.0            8158      YES            
92     188    280    -1948.891304            -0.000386      -0.053335      0.0            8179      YES            
92     190    282    -1950.030958            -0.000742      -0.103969      0.0            8200      YES            
92     198    290    -1955.344718            0.100318       14.827539      0.0            8223      YES            
92     200    292    -1956.908744            0.174858       26.432994      0.0            8245      YES            
92     202    294    -1958.929586            0.195571       30.056647      0.0            8265      YES            
92     204    296    -1960.542787            0.20796        32.421837      0.0            8289      YES            
92     206    298    -1961.790967            0.214355       33.873068      0.0            8310      YES            
92     208    300    -1962.65748             0.218381       34.96518       0.0            8331      YES            
92     210    302    -1963.313429            0.221083       35.863195      0.0            8351      YES            
92     212    304    -1963.739853            0.223886       36.798733      0.0            8372      YES            
92     214    306    -1963.961191            0.225022       37.462247      0.0            8393      YES            
92     216    308    -1963.919526            0.223466       37.66132       0.0            8414      YES            
92     218    310    -1963.589243            0.218371       37.231672      0.0            8435      YES            
92     220    312    -1963.513563            -0.0           -1e-06         0.0            8453      YES            
92     222    314    -1963.540998            0.0            0.0            0.0            8474      YES            
