EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
UNE1,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-106.852185,-234.466012,0,3
UNE1,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 1, 0",-106.768257,-234.54994,0,3
UNE1,'',21,20,41,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-337.188049,4.130148,0,0
UNE1,'',19,20,39,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-333.522576,-7.795621,0,3
UNE1,'',21,20,41,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-340.305974,1.012223,0,0
UNE1,'',21,20,41,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-333.293682,8.024515,0,0
UNE1,'',19,20,39,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-328.006963,-13.311234,0,3
UNE1,'',21,20,41,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-338.897644,2.420553,0,0
UNE0,48Ca,20,28,48,Ground,Ground,Ground,"0, 0, 0, 0, 0",-415.246908,0.0,0,0
UNE1,'',20,29,49,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-419.659182,-4.412274,0,0
UNE1,'',20,29,49,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-412.332675,2.914233,0,0
UNE1,'',20,27,47,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-395.604033,-19.642875,0,3
UNE1,'',20,29,49,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-418.158469,-2.911561,0,0
UNE1,'',20,27,47,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-398.17912,-17.067788,0,3
UNE1,'',20,27,47,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-405.070001,-10.176907,0,3
UNE1,'',20,29,49,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-415.252915,-0.006007,0,0
UNE1,'',20,27,47,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-400.620134,-14.626774,0,3
UNE1,'',21,28,49,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-417.62848,-2.381572,0,0
UNE1,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 1, 0",-106.768257,-308.478651,0,3
UNE1,'',19,28,47,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-397.906112,-17.340796,0,3
UNE1,'',19,28,47,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-397.551991,-17.694917,0,3
UNE1,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-106.852185,-308.394723,0,3
UNE1,'',21,28,49,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-424.421129,-9.174221,0,0
UNE1,'',21,28,49,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-417.339821,-2.092913,0,0
UNE1,'',19,28,47,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-392.915867,-22.331041,0,3
UNE1,'',21,28,49,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-413.56719,1.679718,0,0
UNE1,'',21,28,49,proton,particle,2p_3_2,"3, -1, 3, 2, 1",-424.575074,-9.328166,0,3
UNE0,56Ni,28,28,56,Ground,Ground,Ground,"0, 0, 0, 0, 0",-483.334615,0.0,0,0
UNE1,'',28,27,55,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-466.322728,-17.011887,0,3
UNE1,'',28,27,55,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-460.140681,-23.193934,0,3
UNE1,'',28,27,55,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-461.237774,-22.096841,0,3
UNE1,'',28,29,57,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-490.21659,-6.881975,0,0
UNE1,'',28,29,57,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-487.034233,-3.699618,0,0
UNE1,'',28,29,57,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-493.265567,-9.930952,0,0
UNE1,'',28,29,57,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-493.334809,-10.000194,0,0
UNE1,'',28,27,55,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-456.868947,-26.465668,0,3
UNE1,'',29,28,57,proton,particle,2p_3_2,"3, -1, 3, 1, 2",-481.272537,2.062078,0,3
UNE1,'',29,28,57,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-477.959358,5.375257,0,0
UNE1,'',27,28,55,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-465.864876,-17.469739,0,3
UNE1,'',29,28,57,proton,particle,2p_1_2,"1, -1, 3, 2, 1",-481.18698,2.147635,0,3
UNE1,'',27,28,55,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-469.300416,-14.034199,0,3
UNE1,'',27,28,55,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-475.188281,-8.146334,0,3
UNE1,'',29,28,57,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-481.150845,2.18377,0,0
UNE1,'',27,28,55,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-470.177797,-13.156818,0,3
UNE0,78Ni,28,50,78,Ground,Ground,Ground,"0, 0, 0, 0, 0",-642.669563,0.0,0,0
UNE1,'',28,49,77,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-624.383457,-18.286106,0,3
UNE1,'',28,51,79,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-635.22843,7.441133,0,0
UNE1,'',28,51,79,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-638.969122,3.700441,0,0
UNE1,'',28,51,79,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-639.513587,3.155976,0,0
UNE1,'',28,49,77,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-629.830557,-12.839006,0,3
UNE1,'',28,49,77,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-627.927248,-14.742315,0,3
UNE1,'',28,49,77,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-632.729684,-9.939879,0,3
UNE1,'',28,51,79,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-633.590218,9.079345,0,0
UNE1,'',28,49,77,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-629.384165,-13.285398,0,3
UNE1,'',28,51,79,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-638.064159,4.605404,0,0
UNE1,'',29,50,79,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-652.896063,-10.2265,0,0
UNE1,'',27,50,77,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-611.369171,-31.300392,0,3
UNE1,'',27,50,77,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-611.752967,-30.916596,0,3
UNE1,'',27,50,77,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-616.955639,-25.713924,0,3
UNE1,'',29,50,79,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-652.388938,-9.719375,0,0
UNE1,'',27,50,77,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-608.375263,-34.2943,0,3
UNE1,'',29,50,79,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-648.675837,-6.006274,0,0
UNE1,'',29,50,79,proton,particle,2p_3_2,"3, -1, 3, 1, 2",-652.989897,-10.320334,0,3
UNE0,90Zr,40,50,90,Ground,Ground,Ground,"0, 0, 0, 0, 0",-783.285679,0.0,0,0
UNE1,'',40,49,89,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-775.136081,-8.149598,0,3
UNE1,'',40,49,89,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-770.554991,-12.730688,0,3
UNE1,'',40,51,91,neutron,particle,2d_3_2,"3, 1, 4, 2, 2",-790.640749,-7.35507,0,3
UNE1,'',40,49,89,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-772.19009,-11.095589,0,3
UNE1,'',40,51,91,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-788.688735,-5.403056,0,0
UNE1,'',40,49,89,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-766.893714,-16.391965,0,3
UNE1,'',40,49,89,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-771.810628,-11.475051,0,3
UNE1,'',40,51,91,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-793.605799,-10.32012,0,0
UNE1,'',40,51,91,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-790.558074,-7.272395,0,0
UNE1,'',40,51,91,neutron,particle,3s_1_2,"0, 0, 0, 0, 0",9999,10782.285679,2,3
