Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
102    184    286    -0.055749           -2039.098337        -2039.042588        0.037497       0.001587       1e-06          
102    186    288    -0.494939           -2044.812632        -2044.317693        0.078008       0.00941        1e-06          
102    188    290    -1.37834            -2049.898895        -2048.520555        0.112655       0.031897       1e-06          
102    190    292    -2.023227           -2055.292393        -2053.269166        0.146197       0.063141       12.381965      
102    192    294    -1.116514           -2060.481558        -2059.365044        0.174996       0.095475       52.938614      
102    194    296    -0.351633           -2065.498678        -2065.147045        0.185594       0.138265       50.287572      
102    232    334    -0.000219           -2125.185032        -2125.184813        0.081365       0.239892       42.345908      
102    234    336    -0.00566            -2125.274998        -2125.269338        0.079341       0.231721       41.083819      
102    236    338    -0.005425           -2125.155391        -2125.149966        0.075995       0.220591       39.222149      
102    260    362    -0.017094           -2123.483811        -2123.466717        0.037315       0.002846       0.111691       
102    262    364    -0.485565           -2120.475404        -2119.989839        0.073688       0.018263       0.125786       
102    264    366    -1.099535           -2117.659046        -2116.559511        0.098524       0.038338       8.930317       
104    170    274    -0.02081            -1989.162995        -1989.142185        0.063462       0.212897       26.040648      
104    184    288    -0.017905           -2054.56448         -2054.546575        0.024139       6.3e-05        0.0            
104    186    290    -0.325124           -2060.768656        -2060.443532        0.072081       0.005846       1e-06          
104    188    292    -1.017237           -2066.289741        -2065.272504        0.105877       0.023603       1e-06          
104    190    294    -1.579966           -2072.246777        -2070.666811        0.144741       0.060151       12.638933      
104    198    302    -0.009969           -2096.536224        -2096.526255        0.108887       0.327034       49.115283      
104    234    338    -0.000183           -2155.555155        -2155.554972        0.081005       0.235059       41.939066      
104    260    364    -0.036234           -2157.752354        -2157.71612         0.031648       0.005688       0.162222       
104    262    366    -0.3265             -2154.933458        -2154.606958        0.073223       0.010669       0.300136       
104    264    368    -1.025068           -2152.469307        -2151.444239        0.098397       0.034359       0.610835       
106    164    270    0.002935            -1968.148438        -1968.151373        0.072341       0.255693       31.2579        
106    186    292    -0.136174           -2075.417495        -2075.281321        0.054738       0.000412       1e-06          
106    188    294    -0.633539           -2081.367159        -2080.73362         0.092537       0.012363       0.0            
106    198    304    -0.020791           -2115.38753         -2115.366739        0.12615        0.353482       54.231282      
106    200    306    0.001247            -2121.292107        -2121.293354        0.119065       0.334987       51.448337      
106    262    368    -0.17874            -2188.289648        -2188.110908        0.064858       0.003953       0.381737       
106    264    370    -0.79716            -2186.108493        -2185.311333        0.094972       0.029693       0.924171       
108    158    266    0.012472            -1934.556015        -1934.568487        0.084439       0.275501       32.601896      
108    164    272    0.003106            -1975.034601        -1975.037707        0.072668       0.251921       31.015844      
108    170    278    -0.001914           -2008.896703        -2008.894789        0.063352       0.218505       27.328017      
108    188    296    -0.250405           -2095.192872        -2094.942467        0.073106       0.004094       1e-06          
108    196    304    0.053062            -2125.871386        -2125.924448        0.090761       0.370709       59.254732      
108    200    308    0.01767             -2139.021281        -2139.038951        0.130657       0.35728        56.108249      
108    262    370    -0.058256           -2220.547848        -2220.489592        0.046421       0.006757       0.382754       
108    264    372    -0.467155           -2218.539335        -2218.07218         0.091081       0.021591       0.955278       
108    266    374    -1.045341           -2217.076829        -2216.031488        0.118482       0.052409       16.107995      
108    268    376    -0.846958           -2215.301692        -2214.454734        0.138027       0.078929       22.944901      
110    166    276    0.031152            -1991.907456        -1991.938608        0.070556       0.237571       29.536125      
110    168    278    -0.0011             -2004.099273        -2004.098173        0.070235       0.228046       28.376309      
110    188    298    -0.092366           -2107.986849        -2107.894483        0.067833       0.411165       -0.012138      
110    192    302    -2.792464           -2125.216954        -2122.42449         0.205067       0.420003       16.771746      
110    196    306    0.05889             -2141.117244        -2141.176134        0.085969       0.380855       61.956675      
110    198    308    -4.483934           -2148.477518        -2143.993584        0.139878       0.382977       -38.612179     
110    200    310    0.009097            -2155.390496        -2155.399593        0.136848       0.372745       59.774535      
110    202    312    0.012783            -2161.941635        -2161.954418        0.133027       0.359931       57.822542      
110    228    338    0.001595            -2229.051577        -2229.053172        0.038638       0.219889       41.267846      
110    264    374    -0.201248           -2249.913439        -2249.712191        0.077453       0.01624        0.846138       
110    266    376    -0.963272           -2248.777358        -2247.814086        0.11359        0.048138       11.90735       
112    160    272    0.005981            -1952.217017        -1952.222998        0.071508       0.248733       30.521893      
112    162    274    0.024774            -1967.73383         -1967.758604        0.070677       0.244337       30.132892      
112    164    276    0.026415            -1982.040732        -1982.067147        0.075207       0.239699       29.49244       
112    168    280    -0.00309            -2008.63979         -2008.6367          0.070562       0.219783       27.183079      
112    192    304    -2.798025           -2137.712265        -2134.91424         0.057299       0.402266       14.710164      
112    194    306    -3.256998           -2146.468974        -2143.211976        0.215001       0.42597        19.694841      
112    200    312    0.01267             -2170.102392        -2170.115062        0.141691       0.386948       63.029094      
112    202    314    0.024392            -2177.154596        -2177.178988        0.138584       0.376411       61.616163      
112    204    316    0.029669            -2183.860294        -2183.889963        0.134637       0.362307       59.447776      
112    236    348    -0.001029           -2263.330673        -2263.329644        0.01772        0.180363       35.908563      
112    266    378    -0.806335           -2279.344215        -2278.53788         0.10628        0.045803       3.307246       
112    282    394    -0.016472           -2273.644722        -2273.62825         0.08383        0.230069       54.016793      
112    284    396    -0.01066            -2272.798614        -2272.787954        0.086214       0.235193       55.887021      
112    286    398    -0.009288           -2271.802009        -2271.792721        0.088406       0.239549       57.547831      
114    154    268    0.032682            -1899.176111        -1899.208793        0.060399       0.253237       30.960996      
114    164    278    -0.000506           -1983.453345        -1983.452839        0.020492       0.212045       28.214787      
