Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
30     60     90     -695.130729             -0.001         0.0            block1b-006217        YES            
30     62     92     -697.021936             -0.001         0.0            block1b-006232        YES            
30     64     94     -698.455351             -0.076         -0.0           block1b-006307        YES            
30     66     96     -699.313234             -0.085         -0.0           block1b-006382        YES            
30     68     98     -700.111704             0.209          -0.0           block1b-006490        YES            
30     70     100    -700.924522             0.248          0.0            block1b-006594        YES            
30     72     102    -701.270059             0.266          0.0            block1b-006654        YES            
30     74     104    -701.286841             0.283          0.0            block1b-006744        YES            
30     76     106    -700.86622              0.296          -0.0           block1b-006774        YES            
30     78     108    -699.869424             0.31           0.0            block1b-006865        YES            
30     80     110    -698.356462             0.32           0.0            block1b-006926        YES            
30     82     112    -696.446113             0.319          0.0            block1b-007001        YES            
30     84     114    -694.179823             0.303          0.0            block1b-007106        YES            
32     22     54     -378.316217             -0.001         -0.0           block1b-007131        YES            
32     24     56     -416.937333             0.158          0.0            block1b-007209        YES            
32     26     58     -453.848648             0.176          0.0            block1b-007344        YES            
32     28     60     -487.624509             -0.132         0.0            block1b-007357        YES            
32     30     62     -517.247531             0.152          0.003          block1b-007440        YES            
32     32     64     -543.741843             0.193          0.002          block1b-007514        YES            
32     34     66     -568.001782             -0.221         -0.0           block1b-007576        YES            
32     36     68     -589.547909             -0.202         0.0            block1b-007652        YES            
32     38     70     -609.366066             -0.177         -0.0           block1b-007727        YES            
32     40     72     -627.793575             0.0            0.0            block1b-007873        YES            
32     42     74     -644.361273             0.001          -0.0           block1b-007889        YES            
32     44     76     -660.694168             0.163          0.001          block1b-007964        YES            
32     46     78     -675.653477             0.177          0.0            block1b-008037        YES            
32     48     80     -688.47573              0.166          0.0            block1b-008112        YES            
32     50     82     -699.297032             0.138          -0.0           block1b-008187        YES            
32     52     84     -708.40786              0.14           0.0            block1b-008262        YES            
32     54     86     -716.013047             0.166          0.0            block1b-008337        YES            
32     56     88     -722.192439             0.171          0.0            block1b-008410        YES            
32     58     90     -727.384152             -0.185         0.0            block1b-008481        YES            
32     60     92     -731.924579             -0.199         0.0            block1b-008556        YES            
32     62     94     -735.732065             -0.204         0.0            block1b-008631        YES            
32     64     96     -738.790104             -0.201         -0.0           block1b-008766        YES            
32     66     98     -741.218956             -0.191         0.0            block1b-008781        YES            
32     68     100    -743.302904             0.216          0.002          block1b-008919        YES            
32     70     102    -745.354853             0.229          0.01           block1b-008994        YES            
32     72     104    -746.967785             0.238          -0.0           block1b-009010        YES            
32     74     106    -748.283421             0.245          0.001          block1b-009114        YES            
32     76     108    -749.085132             0.259          0.0            block1b-009189        YES            
32     78     110    -749.262897             0.271          0.0            block1b-009280        YES            
32     80     112    -748.797337             0.274          -0.0           block1b-009311        YES            
32     82     114    -747.944091             0.268          -0.0           block1b-009386        YES            
32     84     116    -746.833789             0.259          0.0            block1b-009506        YES            
32     86     118    -745.389806             0.252          0.0            block1b-009538        YES            
32     88     120    -744.131284             -0.226         0.0            block1b-009619        YES            
34     24     58     -410.196451             0.147          -0.0           block1b-009687        YES            
34     26     60     -449.501067             0.168          0.0            block1b-009760        YES            
34     28     62     -486.085644             -0.154         0.0            block1b-009832        YES            
34     30     64     -518.326902             -0.178         0.0            block1b-009902        YES            
34     32     66     -547.866577             -0.225         0.0            block1b-010021        YES            
34     34     68     -575.172997             -0.245         -0.0           block1b-010115        YES            
34     36     70     -599.210611             -0.231         -0.0           block1b-010128        YES            
34     38     72     -621.527004             -0.191         -0.0           block1b-010203        YES            
34     40     74     -642.299713             -0.187         0.0            block1b-010280        YES            
34     42     76     -661.206893             0.0            0.0            block1b-010361        YES            
34     44     78     -679.63829              0.131          -0.0           block1b-010440        YES            
34     46     80     -696.936261             0.156          -0.0           block1b-010512        YES            
34     48     82     -712.162426             0.137          -0.0           block1b-010587        YES            
34     50     84     -725.329557             0.095          0.0            block1b-010665        YES            
34     52     86     -736.16546              -0.129         -0.0           block1b-010731        YES            
34     54     88     -745.458374             0.154          -0.0           block1b-010812        YES            
34     56     90     -753.324098             0.171          -0.0           block1b-010885        YES            
34     58     92     -760.411996             -0.203         0.0            block1b-010957        YES            
34     60     94     -766.684205             -0.22          -0.0           block1b-011031        YES            
34     62     96     -772.116622             -0.226         0.0            block1b-011106        YES            
34     64     98     -776.827251             -0.228         -0.0           block1b-011181        YES            
34     66     100    -780.789236             -0.224         0.0            block1b-011256        YES            
34     68     102    -784.065298             -0.21          0.0            block1b-011331        YES            
34     70     104    -786.811235             0.245          0.0            block1b-011410        YES            
