Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
30     84     114    -683.238705             0.205          0.0            block1b-007079        YES            
32     22     54     -381.186742             0.0            0.0            block1b-007133        YES            
32     24     56     -419.402935             0.145          -0.0           block1b-007268        YES            
32     26     58     -455.973973             0.159          -0.0           block1b-007329        YES            
32     28     60     -489.452039             0.0            0.0            block1b-007388        YES            
32     30     62     -517.985662             0.168          -0.0           block1b-007435        YES            
32     32     64     -543.943847             0.204          0.003          block1b-007526        YES            
32     34     66     -568.046067             -0.225         0.0            block1b-007597        YES            
32     36     68     -589.50805              -0.204         -0.0           block1b-007696        YES            
32     38     70     -609.442378             -0.174         0.0            block1b-007772        YES            
32     40     72     -628.422955             0.0            -0.0           block1b-007808        YES            
32     42     74     -645.119756             -0.001         -0.0           block1b-007877        YES            
32     44     76     -661.70967              0.152          0.0            block1b-007980        YES            
32     46     78     -677.272148             0.176          0.022          block1b-008083        YES            
32     48     80     -690.623616             0.15           0.001          block1b-008145        YES            
32     50     82     -701.89821              0.106          -0.0           block1b-008250        YES            
32     52     84     -710.763878             0.15           0.002          block1b-008277        YES            
32     54     86     -718.114897             0.189          0.001          block1b-008369        YES            
32     56     88     -724.137049             0.213          0.001          block1b-008459        YES            
32     58     90     -728.548753             0.217          -0.0           block1b-008548        YES            
32     60     92     -732.469008             -0.234         0.0            block1b-008613        YES            
32     62     94     -735.7664               -0.235         0.0            block1b-008676        YES            
32     64     96     -738.589182             -0.236         0.001          block1b-008737        YES            
32     66     98     -740.858915             -0.237         0.0            block1b-008827        YES            
32     68     100    -742.275781             -0.236         0.007          block1b-008888        YES            
32     70     102    -743.237069             0.271          0.0            block1b-008993        YES            
32     72     104    -744.109137             0.243          -0.0           block1b-009068        YES            
32     74     106    -744.626257             0.21           -0.0           block1b-009142        YES            
32     76     108    -744.793608             0.176          0.0            block1b-009217        YES            
32     78     110    -744.447056             0.158          0.0            block1b-009293        YES            
32     80     112    -743.203296             0.164          0.0            block1b-009340        YES            
32     82     114    -741.097687             0.176          -0.0           block1b-009400        YES            
32     84     116    -738.327752             0.189          -0.0           block1b-009523        YES            
32     86     118    -734.960119             0.179          0.0            block1b-009553        YES            
32     88     120    -731.464693             -0.172         0.0            block1b-009619        YES            
34     24     58     -412.504408             0.119          -0.0           block1b-009728        YES            
34     26     60     -451.601052             0.142          0.0            block1b-009789        YES            
34     28     62     -487.806703             -0.146         -0.001         block1b-009882        YES            
34     30     64     -519.025911             -0.194         0.003          block1b-009904        YES            
34     32     66     -548.024429             -0.231         0.0            block1b-009995        YES            
34     34     68     -575.045909             -0.248         -0.0           block1b-010055        YES            
34     36     70     -598.828626             -0.234         -0.0           block1b-010128        YES            
34     38     72     -621.056679             -0.197         -0.0           block1b-010262        YES            
34     40     74     -641.92449              -0.194         0.0            block1b-010323        YES            
34     42     76     -660.921783             -0.003         0.0            block1b-010352        YES            
34     44     78     -679.64343              0.132          0.004          block1b-010484        YES            
34     46     80     -697.495886             0.158          -0.002         block1b-010513        YES            
34     48     82     -713.254568             0.143          0.025          block1b-010604        YES            
34     50     84     -726.787284             0.086          0.0            block1b-010680        YES            
34     52     86     -737.268151             0.133          0.0            block1b-010739        YES            
34     54     88     -746.515733             0.18           0.0            block1b-010814        YES            
34     56     90     -754.560221             0.212          0.002          block1b-010920        YES            
34     58     92     -761.329431             -0.239         -0.0           block1b-010968        YES            
34     60     94     -767.369745             -0.255         0.0            block1b-011046        YES            
34     62     96     -772.377838             -0.255         0.012          block1b-011167        YES            
34     64     98     -776.905484             -0.251         0.008          block1b-011213        YES            
34     66     100    -780.924713             -0.249         0.014          block1b-011288        YES            
34     68     102    -784.077304             -0.251         0.004          block1b-011363        YES            
34     70     104    -786.220798             -0.246         0.007          block1b-011453        YES            
34     72     106    -788.168419             0.267          -0.0           block1b-011528        YES            
34     74     108    -789.791117             0.213          -0.0           block1b-011589        YES            
34     76     110    -791.341127             0.149          0.0            block1b-011634        YES            
34     78     112    -792.777465             0.125          -0.0           block1b-011768        YES            
34     80     114    -793.153177             0.084          0.0            block1b-011843        YES            
34     82     116    -793.099453             0.0            -0.0           block1b-011873        YES            
34     84     118    -790.592407             0.08           0.0            block1b-011998        YES            
34     86     120    -788.02174              0.136          0.0            block1b-012073        YES            
34     88     122    -785.250228             -0.157         -0.0           block1b-012094        YES            
34     90     124    -782.045414             -0.168         -0.0           block1b-012199        YES            
34     92     126    -778.189526             -0.163         -0.0           block1b-012244        YES            
36     26     62     -444.714728             -0.091         -0.0           block1b-012370        YES            
36     28     64     -483.744805             -0.114         0.0            block1b-012413        YES            
36     30     66     -517.301848             -0.164         0.0            block1b-012520        YES            
36     32     68     -548.478702             -0.217         -0.0           block1b-012595        YES            
36     34     70     -577.92115              -0.244         0.0            block1b-012654        YES            
36     36     72     -604.398937             -0.202         -0.0           block1b-012708        YES            
