Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
114    194    308    -2154.726931            0.107445       16.956395      0.0            3971      YES            
114    196    310    -2163.362965            0.129523       20.758762      0.0            3988      YES            
114    198    312    -2171.921892            0.149823       24.389017      0.0            4005      YES            
114    200    314    -2178.982452            -0.248152      -41.675743     0.0            4015      YES            
114    202    316    -2186.776846            -0.257408      -43.86071      0.0            4032      YES            
114    224    338    -2261.909461            0.210519       40.057567      0.0            4063      YES            
114    266    380    -2308.257251            0.007158       1.664267       0.0            4069      YES            
114    268    382    -2307.215172            0.065199       15.327314      0.0            4092      YES            
114    270    384    -2306.603085            0.091975       21.927424      0.0            4109      YES            
114    272    386    -2306.160411            0.113151       27.349746      0.0            4127      YES            
114    276    390    -2305.881163            0.175437       43.642087      0.0            4144      YES            
114    278    392    -2305.860959            0.192788       48.599397      0.0            4161      YES            
114    280    394    -2305.676581            0.202537       51.653259      0.0            4178      YES            
114    282    396    -2305.356444            0.211501       54.540842      0.0            4192      YES            
114    284    398    -2304.893314            0.21658        56.420779      0.0            4209      YES            
114    286    400    -2304.290255            0.220634       58.048399      0.0            4226      YES            
114    288    402    -2303.521184            0.223576       59.402328      0.0            4243      YES            
114    290    404    -2302.537558            0.225457       60.49365       0.0            4260      YES            
114    292    406    -2301.318463            0.226468       61.363544      0.0            4277      YES            
114    294    408    -2299.873937            0.226831       62.059294      0.0            4294      YES            
114    296    410    -2298.247399            0.226694       62.614332      0.0            4311      YES            
116    192    308    -2155.971422            -0.060544      -9.494271      0.0            4323      YES            
116    194    310    -2164.921616            -0.135166      -21.653565     0.0            4340      YES            
116    196    312    -2173.881123            0.110213       17.801388      0.0            4362      YES            
116    266    382    -2336.673799            0.004575       1.06524        0.0            4375      YES            
116    268    384    -2335.893355            0.035363       8.329446       0.0            4392      YES            
116    270    386    -2335.406726            0.075226       18.009093      0.0            4415      YES            
116    272    388    -2335.421086            -0.331923      -85.028816     0.0            4422      YES            
116    276    392    -2335.432493            0.165973       41.482223      0.0            4450      YES            
116    278    394    -2335.692014            0.18458        46.737199      0.0            4467      YES            
116    280    396    -2335.817091            0.197729       50.640479      0.0            4484      YES            
116    282    398    -2335.816353            0.206913       53.558754      0.0            4501      YES            
116    284    400    -2335.695953            0.214608       56.139373      0.0            4515      YES            
116    286    402    -2335.440049            0.218642       57.764372      0.0            4532      YES            
116    288    404    -2335.023858            0.221577       59.116892      0.0            4549      YES            
116    290    406    -2334.412407            0.223506       60.220696      0.0            4566      YES            
116    292    408    -2333.578879            0.224629       61.120769      0.0            4583      YES            
116    294    410    -2332.540099            0.225159       61.86366       0.0            4600      YES            
118    192    310    -2164.465287            -0.053944      -8.476986      0.0            4612      YES            
118    194    312    -2173.893714            -0.078317      -12.5271       0.0            4629      YES            
118    196    314    -2183.329779            -0.137892      -22.594865     0.0            4646      YES            
118    198    316    -2192.341971            -0.147545      -24.517226     0.0            4664      YES            
118    266    384    -2363.64163             0.003585       0.83327        0.0            4681      YES            
118    268    386    -2363.255812            0.013993       3.291857       0.0            4698      YES            
118    270    388    -2362.925556            -0.346448      -88.860671     0.0            4710      YES            
118    272    390    -2363.467447            -0.343958      -89.033905     0.0            4728      YES            
118    278    396    -2364.355579            0.175788       44.713901      0.0            4756      YES            
118    280    398    -2364.788909            0.189676       48.777753      0.0            4772      YES            
118    282    400    -2365.141335            0.199258       51.787314      0.0            4790      YES            
118    284    402    -2365.331333            0.206298       54.17667       0.0            4807      YES            
118    286    404    -2365.380714            0.211605       56.133129      0.0            4824      YES            
118    288    406    -2365.275208            0.215609       57.765256      0.0            4841      YES            
118    290    408    -2365.008079            0.218482       59.117245      0.0            4858      YES            
118    292    410    -2364.556515            0.220621       60.300659      0.0            4872      YES            
118    294    412    -2363.902647            0.221595       61.157353      0.0            4889      YES            
118    296    414    -2363.059337            0.221972       61.847089      0.0            4906      YES            
120    192    312    -2171.249369            -0.039421      -6.216754      0.0            4918      YES            
120    194    314    -2181.304283            -0.132347      -21.604879     0.0            4935      YES            
120    196    316    -2191.26294             -0.150487      -24.977222     0.0            4952      YES            
120    204    324    -2229.14311             -0.269205      -47.751404     0.0            4967      YES            
120    266    386    -2389.060624            0.002472       0.579822       0.0            4988      YES            
120    268    388    -2389.103191            0.005966       1.414802       0.0            5005      YES            
120    270    390    -2389.102611            0.023659       5.67499        0.0            5022      YES            
120    272    392    -2389.518181            -0.26598       -67.10226      0.0            5035      YES            
120    278    398    -2391.815847            0.169947       43.425508      0.0            5062      YES            
120    280    400    -2392.648357            0.181905       46.989605      0.0            5079      YES            
120    282    402    -2393.310429            0.190412       49.713496      0.0            5096      YES            
120    284    404    -2393.807378            0.197176       52.012487      0.0            5113      YES            
120    286    406    -2394.146405            0.203042       54.095862      0.0            5130      YES            
120    288    408    -2394.346545            0.208184       56.010572      0.0            5147      YES            
120    290    410    -2394.399742            0.212376       57.698552      0.0            5164      YES            
120    292    412    -2394.305397            0.215393       59.08994       0.0            5181      YES            
120    294    414    -2394.044736            0.217679       60.3039        0.0            5195      YES            
120    296    416    -2393.599274            0.218451       61.087813      0.0            5212      YES            
