Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
94     192    286    -1969.187651            -0.222571      -32.547182     0.0            881       YES            
94     194    288    -1972.342983            0.393608       60.534436      0.0            887       YES            
94     196    290    -1975.135939            0.390527       60.785687      0.0            891       YES            
94     198    292    -1977.535211            0.392221       61.892672      0.0            895       YES            
96     128    224    -1679.40649             -0.431209      -44.155495     0.0            897       YES            
96     130    226    -1696.099682            -0.436847      -45.558203     0.0            901       YES            
96     132    228    -1715.238385            0.391732       39.314418      0.0            907       YES            
96     134    230    -1731.165067            0.393641       40.104748      0.0            911       YES            
96     186    282    -1981.724053            0.482535       73.009506      0.0            916       YES            
96     188    284    -1985.902297            0.46367        70.664994      0.0            920       YES            
96     190    286    -1990.114783            0.416809       63.415298      0.0            923       YES            
96     192    288    -1994.656817            -0.227859      -33.649833     0.0            926       YES            
96     194    290    -1998.158226            -0.241538      -36.284787     0.0            930       YES            
96     196    292    -2001.471422            -0.250456      -38.188725     0.0            934       YES            
96     198    294    -2004.628963            -0.257384      -39.80986      0.0            938       YES            
98     126    224    -1661.29537             -0.429125      -43.919911     0.0            941       YES            
98     128    226    -1682.350015            0.395369       39.210011      0.0            947       YES            
98     130    228    -1700.40298             0.398799       40.156083      0.0            951       YES            
98     132    230    -1717.853821            0.398696       40.708086      0.0            955       YES            
98     134    232    -1734.742687            0.399885       41.419005      0.0            959       YES            
98     186    284    -2003.677087            0.477041       72.698822      0.0            964       YES            
98     188    286    -2008.46407             0.451978       69.205121      0.0            968       YES            
98     190    288    -2013.222931            0.409668       62.661301      0.0            972       YES            
98     192    290    -2018.083174            -0.231585      -34.527089     0.0            973       YES            
98     194    292    -2022.242359            -0.244278      -37.044566     0.0            978       YES            
98     196    294    -2026.074502            -0.252843      -38.918403     0.0            982       YES            
98     198    296    -2029.750206            -0.259488      -40.511646     0.0            986       YES            
98     232    330    -2062.093442            0.19765        37.246065      0.0            991       YES            
98     234    332    -2060.347021            0.314626       61.315985      0.0            995       YES            
98     236    334    -2060.352661            0.37978        76.313506      0.0            1000      YES            
98     238    336    -2059.799106            0.382735       77.90418       0.0            1003      YES            
98     262    360    -2042.953104            -0.253568      -57.868179     0.0            1006      YES            
100    126    226    -1659.270822            -0.432614      -45.061764     0.0            1009      YES            
100    128    228    -1681.683323            0.396834       39.927367      0.0            1015      YES            
100    130    230    -1700.561664            0.405119       41.462152      0.0            1019      YES            
100    132    232    -1718.901718            0.406758       42.254411      0.0            1023      YES            
100    134    234    -1736.692014            0.409922       43.228354      0.0            1027      YES            
100    184    284    -2018.473597            0.477214       72.394994      0.0            1032      YES            
100    186    286    -2024.022722            0.458488       70.041867      0.0            1036      YES            
100    188    288    -2029.546441            0.429534       65.808002      0.0            1040      YES            
100    194    294    -2044.561356            -0.243401      -37.214256     0.0            1050      YES            
100    196    296    -2048.932073            -0.25418       -39.480608     0.0            1054      YES            
100    198    298    -2053.162476            -0.261222      -41.160213     0.0            1058      YES            
100    234    334    -2094.53961             0.197765       37.948704      0.0            1063      YES            
100    236    336    -2093.915109            0.37378        75.347107      0.0            1067      YES            
100    238    338    -2093.688264            0.375399       76.603281      0.0            1071      YES            
100    240    340    -2093.390259            -0.245382      -49.306298     0.0            1073      YES            
100    242    342    -2092.901837            0.382119       79.937632      0.0            1079      YES            
100    250    350    -2089.729944            0.400981       88.263924      0.0            1083      YES            
100    260    360    -2081.882144            0.434634       102.419279     0.0            1088      YES            
100    262    362    -2080.413753            -0.260314      -59.73615      0.0            1090      YES            
100    264    364    -2078.653167            -0.264663      -61.510858     0.0            1094      YES            
102    128    230    -1676.002351            -0.442427      -47.771136     0.0            1097      YES            
102    130    232    -1695.450423            -0.449986      -49.534726     0.0            1101      YES            
102    132    234    -1718.48529             0.413516       43.612294      0.0            1107      YES            
102    134    236    -1737.062645            0.422096       45.278049      0.0            1111      YES            
102    182    284    -2030.229734            0.466972       70.2592        0.0            1116      YES            
102    184    286    -2036.674568            0.455135       69.124301      0.0            1120      YES            
102    186    288    -2043.046677            0.422803       64.372089      0.0            1124      YES            
102    188    290    -2049.507934            0.356395       53.913284      0.0            1127      YES            
102    190    292    -2055.939597            0.335384       51.084745      0.0            1131      YES            
102    192    294    -2062.10048             0.316737       48.594149      0.0            1135      YES            
102    194    296    -2067.937041            0.309221       47.91184       0.0            1139      YES            
102    196    298    -2073.388703            0.277448       43.228931      0.0            1143      YES            
102    214    316    -2112.873598            0.245611       42.417816      0.0            1147      YES            
102    226    328    -2124.221228            0.232926       43.159321      0.0            1151      YES            
102    228    330    -2125.060089            0.228886       42.891012      0.0            1155      YES            
102    230    332    -2125.684059            0.223992       42.436034      0.0            1159      YES            
102    232    334    -2126.046271            0.217184       41.579677      0.0            1163      YES            
102    234    336    -2125.548392            0.368546       73.690716      0.0            1167      YES            
102    240    342    -2126.320064            0.371157       76.914551      0.0            1171      YES            
102    242    344    -2126.31527             0.374801       78.629889      0.0            1175      YES            
102    260    362    -2118.683848            0.426849       100.656032     0.0            1180      YES            
102    262    364    -2117.109605            0.431483       103.107742     0.0            1184      YES            
102    264    366    -2115.403457            0.435183       105.351376     0.0            1188      YES            
104    182    286    -2046.408389            0.443275       66.815456      0.0            1192      YES            
104    184    288    -2053.729361            0.42018        63.728448      0.0            1196      YES            
