Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
82     134    216    -1658.626129            -0.315495      -28.849833     0.0            1132      YES            
82     136    218    -1669.076863            -0.324121      -30.236651     0.0            1136      YES            
82     138    220    -1679.007603            -0.329176      -31.27409      0.0            1140      YES            
82     140    222    -1688.30907             -0.331102      -32.015287     0.0            1145      YES            
82     142    224    -1697.090043            -0.331321      -32.576312     0.0            1149      YES            
84     132    216    -1671.804473            -0.008877      -0.734415      0.0            1153      YES            
84     134    218    -1671.142254            -0.300606      -27.811731     0.0            1156      YES            
84     136    220    -1682.314585            -0.328901      -31.151594     0.0            1160      YES            
84     154    238    -1767.054666            0.231065       24.408116      0.0            1167      YES            
84     156    240    -1773.992486            0.226359       24.245928      0.0            1171      YES            
84     158    242    -1778.929781            -0.199183      -21.603761     0.0            1173      YES            
84     160    244    -1785.91519             -0.195672      -21.523172     0.0            1177      YES            
84     162    246    -1792.68831             -0.191048      -21.307685     0.0            1181      YES            
84     194    278    -1846.309854            0.455205       68.399004      0.0            1186      YES            
84     196    280    -1847.422338            0.458043       69.851896      0.0            1190      YES            
84     198    282    -1848.228905            0.469138       72.81842       0.0            1194      YES            
86     130    216    -1668.329106            -0.020112      -1.645164      0.0            1197      YES            
86     132    218    -1678.648776            -0.041192      -3.514268      0.0            1201      YES            
86     134    220    -1688.841902            -0.070768      -6.231691      0.0            1205      YES            
86     136    222    -1693.929928            -0.330978      -31.78784      0.0            1208      YES            
86     138    224    -1705.695111            -0.342712      -33.617967     0.0            1212      YES            
86     140    226    -1723.447053            0.185018       17.59837       0.0            1218      YES            
86     142    228    -1733.666816            0.195571       18.94501       0.0            1222      YES            
86     152    238    -1778.969224            0.223799       23.596646      0.0            1227      YES            
86     154    240    -1786.736483            0.218872       23.401088      0.0            1231      YES            
86     156    242    -1794.267874            0.212327       23.000916      0.0            1235      YES            
86     158    244    -1801.634108            0.203148       22.277455      0.0            1239      YES            
86     160    246    -1808.817357            0.190806       21.164549      0.0            1243      YES            
86     164    250    -1819.122025            0.433555       52.450861      0.0            1247      YES            
86     192    278    -1876.320198            0.43099        63.903172      0.0            1250      YES            
86     194    280    -1878.303675            0.432492       65.011896      0.0            1254      YES            
86     196    282    -1879.905646            0.437717       66.774911      0.0            1258      YES            
88     128    216    -1649.246771            -0.367234      -34.198074     0.0            1260      YES            
88     130    218    -1673.277092            -0.038374      -3.254832      0.0            1265      YES            
88     132    220    -1684.522713            -0.068608      -6.035325      0.0            1269      YES            
88     134    222    -1695.917543            -0.103474      -9.287508      0.0            1273      YES            
88     138    226    -1716.74978             -0.345289      -34.349834     0.0            1280      YES            
88     140    228    -1728.74637             0.408342       41.332974      0.0            1286      YES            
88     142    230    -1747.31893             0.218863       21.558265      0.0            1290      YES            
88     144    232    -1758.085282            0.227007       22.738275      0.0            1294      YES            
88     154    242    -1804.566151            0.226207       24.403007      0.0            1299      YES            
88     156    244    -1812.660958            0.218796       23.906411      0.0            1303      YES            
88     158    246    -1820.64404             0.210062       23.251567      0.0            1307      YES            
88     160    248    -1824.850284            0.402563       47.12049       0.0            1311      YES            
88     162    250    -1832.659934            0.42627        50.954921      0.0            1315      YES            
88     172    260    -1866.028536            0.441214       57.217306      0.0            1319      YES            
88     190    278    -1903.073715            0.431655       63.599217      0.0            1322      YES            
88     192    280    -1906.070646            0.427409       63.802701      0.0            1326      YES            
88     194    282    -1908.642739            0.427545       64.725153      0.0            1330      YES            
88     196    284    -1910.805098            0.432112       66.403823      0.0            1334      YES            
88     198    286    -1912.703478            0.439589       68.623206      0.0            1338      YES            
88     200    288    -1914.39128             0.448017       71.109902      0.0            1342      YES            
