Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
88     154    242    -0.006114           -1804.622125        -1804.616011        0.057827       0.23507        24.37871       
88     156    244    -0.010914           -1812.717327        -1812.706413        0.063915       0.230543       23.866299      
88     158    246    -0.017684           -1820.706982        -1820.689298        0.065615       0.223683       23.239539      
88     160    248    -0.020728           -1828.515797        -1828.495069        0.064474       0.213926       22.318711      
88     162    250    -0.023394           -1836.070581        -1836.047187        0.061633       0.201847       21.130618      
88     172    260    -0.001834           -1870.380247        -1870.378413        0.032728       -0.101688      -14.255794     
88     190    278    -0.912864           -1911.727656        -1910.814792        0.114559       0.084676       0.036838       
88     192    280    -1.813662           -1913.675177        -1911.861515        0.152865       0.110117       3.909548       
88     194    282    -2.008878           -1915.441165        -1913.432287        0.173282       0.131919       16.754956      
88     196    284    -1.504384           -1916.953978        -1915.449594        0.181497       0.148668       20.879755      
88     198    286    -0.747378           -1918.223625        -1917.476247        0.167595       0.165913       23.833638      
88     200    288    -0.304908           -1919.725733        -1919.420825        0.096854       0.179853       26.261663      
88     202    290    -0.132267           -1921.293881        -1921.161614        0.046687       0.189511       28.280112      
88     204    292    -0.055789           -1922.572485        -1922.516696        0.024188       0.196885       29.882732      
90     128    218    -1.185141           -1666.212601        -1665.02746         0.103217       0.081632       -0.0           
90     130    220    -2.949231           -1681.659125        -1678.709894        0.155015       0.120373       10.113791      
90     132    222    -3.047873           -1695.8998          -1692.851927        0.18948        0.148299       13.965329      
90     134    224    -2.25469            -1709.651701        -1707.397011        0.215133       0.176186       17.122551      
90     136    226    -0.941692           -1722.563478        -1721.621786        0.228744       0.198751       19.621516      
90     138    228    -0.18851            -1735.157601        -1734.969091        0.220688       0.221572       21.481949      
90     140    230    -0.023318           -1747.720065        -1747.696747        0.072844       0.232998       22.905625      
90     156    246    -0.006061           -1829.506654        -1829.500593        0.063673       0.242308       25.68643       
90     158    248    -0.012576           -1838.13824         -1838.125664        0.069564       0.236401       25.009362      
90     160    250    -0.018532           -1846.543099        -1846.524567        0.06954        0.227589       24.135558      
90     162    252    -0.016337           -1854.553773        -1854.537436        0.06436        0.21472        22.967889      
90     190    280    -1.385878           -1937.79383         -1936.407952        0.135544       0.093596       0.0            
90     192    282    -2.498457           -1940.377711        -1937.879254        0.166324       0.116831       0.012575       
90     194    284    -2.541458           -1942.824171        -1940.282713        0.186391       0.140363       20.036141      
90     196    286    -1.587834           -1945.117512        -1943.529678        0.195214       0.158427       24.320277      
90     198    288    -0.679935           -1947.213686        -1946.533751        0.191013       0.176435       27.126343      
