Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
92     196    288    0.156107            -1970.226466        -1970.070359        0.173762       0.01           0.009522       YES
92     198    290    0.230047            -1974.070847        -1973.8408          0.186588       0.01           0.001229       YES
92     226    318    0.379517            -1993.072018        -1992.692501        0.191736       0.01           -0.025792      YES
92     230    322    0.211052            -1992.483304        -1992.272252        0.172604       0.01           -0.033857      YES
94     128    222    -0.010391           -1667.425029        -1667.43542         2.4e-05        0.01           -0.077971      YES
94     130    224    0.049845            -1683.334876        -1683.285031        0.143132       0.01           0.023749       YES
94     132    226    0.024913            -1700.193062        -1700.168149        0.206407       0.01           0.046345       YES
94     134    228    0.030357            -1717.29593         -1717.265573        0.226518       0.01           0.01607        YES
94     136    230    -0.006109           -1733.781345        -1733.787454        0.233476       0.01           -0.007445      YES
94     138    232    0.031839            -1749.461464        -1749.429625        0.241635       0.01           -0.010046      YES
94     140    234    0.103306            -1764.39457         -1764.291264        0.250389       0.01           -0.010707      YES
94     142    236    0.161823            -1778.508729        -1778.346906        0.256694       0.01           -0.012022      YES
94     160    254    0.215095            -1878.221098        -1878.006003        0.230395       0.01           -0.021405      YES
94     188    282    0.004566            -1979.69819         -1979.693624        0.000218       0.01           -0.060881      YES
94     190    284    0.006043            -1982.382467        -1982.376424        -0.000126      0.01           -0.085483      YES
94     192    286    0.050145            -1985.22271         -1985.172565        0.115865       0.01           0.014053       YES
94     194    288    0.062648            -1990.520937        -1990.458289        0.182372       0.01           0.05132        YES
94     196    290    0.02363             -1995.328866        -1995.305236        0.190012       0.01           0.027704       YES
94     198    292    0.127044            -1999.905223        -1999.778179        0.196952       0.01           -0.012633      YES
94     230    324    0.196034            -2026.410942        -2026.214908        0.179446       0.01           -0.033616      YES
94     232    326    0.24743             -2026.399681        -2026.152251        0.165991       0.01           -0.03499       YES
94     234    328    0.251468            -2026.285683        -2026.034215        0.15525        0.01           -0.035317      YES
96     126    222    -0.007469           -1651.856158        -1651.863627        1.6e-05        0.01           -0.021636      YES
96     128    224    -0.019706           -1666.866451        -1666.886157        2.7e-05        0.01           -0.068557      YES
96     130    226    0.102911            -1684.054093        -1683.951182        0.270104       0.01           0.160707       YES
96     132    228    0.089295            -1702.199951        -1702.110656        0.255687       0.01           0.099219       YES
96     138    234    0.044308            -1753.766684        -1753.722376        0.248884       0.01           -0.011836      YES
96     160    256    0.197105            -1892.21319         -1892.016085        0.242227       0.01           -0.016303      YES
96     162    258    0.156728            -1901.436528        -1901.2798          0.231572       0.01           -0.020927      YES
96     182    278    -0.003099           -1984.809322        -1984.812421        0.000596       0.01           -0.006696      YES
96     184    280    -0.006158           -1992.058971        -1992.065129        4.3e-05        0.01           -0.008284      YES
