Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
114    200    314    -0.002442           -2178.984894        -2178.982452        0.063548       -0.235412      -0.248152      0.01274        
114    202    316    -0.002341           -2186.779187        -2186.776846        0.052582       -0.250432      -0.257408      0.006976       
114    224    338    0.013998            -2261.895463        -2261.909461        0.019722       0.21185        0.210519       0.001331       
114    266    380    -0.516884           -2308.774135        -2308.257251        0.095213       0.044787       0.007158       0.037629       
114    268    382    -0.857629           -2308.072801        -2307.215172        0.115615       0.053305       0.065199       -0.011894      
114    270    384    -0.40089            -2307.003975        -2306.603085        0.118231       0.067095       0.091975       -0.02488       
114    272    386    -0.158198           -2306.318609        -2306.160411        0.072489       0.115769       0.113151       0.002618       
114    276    390    -0.023614           -2305.904777        -2305.881163        0.069766       0.198982       0.175437       0.023545       
114    278    392    -0.027419           -2305.888378        -2305.860959        0.077871       0.215693       0.192788       0.022905       
114    280    394    -0.036493           -2305.713074        -2305.676581        0.082246       0.224798       0.202537       0.022261       
114    282    396    -0.027734           -2305.384178        -2305.356444        0.08551        0.23161        0.211501       0.020109       
114    284    398    -0.022008           -2304.915322        -2304.893314        0.087813       0.236892       0.21658        0.020312       
114    286    400    -0.020533           -2304.310788        -2304.290255        0.089707       0.241076       0.220634       0.020442       
114    288    402    -0.013936           -2303.53512         -2303.521184        0.091009       0.244039       0.223576       0.020463       
114    290    404    -0.014643           -2302.552201        -2302.537558        0.092036       0.246012       0.225457       0.020555       
114    292    406    -0.009266           -2301.327729        -2301.318463        0.092588       0.247056       0.226468       0.020588       
114    294    408    -0.00566            -2299.879597        -2299.873937        0.092585       0.247356       0.226831       0.020525       
114    296    410    -0.004752           -2298.252151        -2298.247399        0.092577       0.247253       0.226694       0.020559       
116    192    308    -0.21905            -2156.190472        -2155.971422        0.074521       0.074383       -0.060544      0.134927       
116    194    310    -1.002797           -2165.924413        -2164.921616        0.086612       -0.347733      -0.135166      -0.212567      
116    196    312    -0.133063           -2174.014186        -2173.881123        0.084631       0.117809       0.110213       0.007596       
116    266    382    -0.371077           -2337.044876        -2336.673799        0.083065       0.043722       0.004575       0.039147       
116    268    384    -0.826708           -2336.720063        -2335.893355        0.104951       0.053053       0.035363       0.01769        
116    270    386    -0.682281           -2336.089007        -2335.406726        0.110825       0.061887       0.075226       -0.013339      
116    272    388    -0.036677           -2335.457763        -2335.421086        0.086094       0.101949       -0.331923      0.433872       
116    276    392    -0.010655           -2335.443148        -2335.432493        0.065881       0.189134       0.165973       0.023161       
116    278    394    -0.020227           -2335.712241        -2335.692014        0.074938       0.208242       0.18458        0.023662       
116    280    396    -0.034043           -2335.851134        -2335.817091        0.081112       0.221211       0.197729       0.023482       
116    282    398    -0.044749           -2335.861102        -2335.816353        0.085121       0.229601       0.206913       0.022688       
116    284    400    -0.040755           -2335.736708        -2335.695953        0.087646       0.235283       0.214608       0.020675       
116    286    402    -0.0343             -2335.474349        -2335.440049        0.089479       0.239432       0.218642       0.02079        
116    288    404    -0.033665           -2335.057523        -2335.023858        0.090978       0.242512       0.221577       0.020935       
116    290    406    -0.025153           -2334.43756         -2334.412407        0.091729       0.244369       0.223506       0.020863       
116    292    408    -0.019922           -2333.598801        -2333.578879        0.092192       0.245438       0.224629       0.020809       
116    294    410    -0.003643           -2332.543742        -2332.540099        0.092417       0.245922       0.225159       0.020763       
118    192    310    -0.250184           -2164.715471        -2164.465287        0.084729       -0.34926       -0.053944      -0.295316      
118    194    312    -0.225836           -2174.11955         -2173.893714        0.093654       0.081643       -0.078317      0.15996        
118    196    314    -0.078818           -2183.408597        -2183.329779        0.098908       0.098736       -0.137892      0.236628       
118    198    316    -0.183269           -2192.52524         -2192.341971        0.0959         0.116907       -0.147545      0.264452       
118    266    384    -0.439581           -2364.081211        -2363.64163         0.07824        0.042046       0.003585       0.038461       
118    268    386    -0.903047           -2364.158859        -2363.255812        0.098277       0.051342       0.013993       0.037349       
118    270    388    -1.031074           -2363.95663         -2362.925556        0.105914       0.057799       -0.346448      0.404247       
118    272    390    -0.076336           -2363.543783        -2363.467447        0.097796       0.073877       -0.343958      0.417835       
118    278    396    -0.011894           -2364.367473        -2364.355579        0.071281       0.199525       0.175788       0.023737       
118    280    398    -0.050146           -2364.839055        -2364.788909        0.077718       0.213147       0.189676       0.023471       
118    282    400    -0.039507           -2365.180842        -2365.141335        0.082128       0.222278       0.199258       0.02302        
118    284    402    -0.044274           -2365.375607        -2365.331333        0.085214       0.228762       0.206298       0.022464       
118    286    404    -0.040506           -2365.42122         -2365.380714        0.087536       0.233701       0.211605       0.022096       
118    288    406    -0.040225           -2365.315433        -2365.275208        0.089346       0.237468       0.215609       0.021859       
118    290    408    -0.033961           -2365.04204         -2365.008079        0.090389       0.240049       0.218482       0.021567       
118    292    410    -0.019689           -2364.576204        -2364.556515        0.091131       0.241724       0.220621       0.021103       
118    294    412    -0.015612           -2363.918259        -2363.902647        0.091394       0.242586       0.221595       0.020991       
118    296    414    -0.002979           -2363.062316        -2363.059337        0.09131        0.242821       0.221972       0.020849       
120    192    312    -0.322504           -2171.571873        -2171.249369        0.067581       0.048545       -0.039421      0.087966       
120    194    314    -0.257016           -2181.561299        -2181.304283        0.101207       0.067369       -0.132347      0.199716       
