 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   O        8      12     20          -153.746333              -14.592023               -5.442907            -0.000001            -0.000002              -0.000002              -0.000001                  -0.000003                     -0.000004                   2.636699                2.019306              2.696679             2.966609               2.861694               0.269931              2.820989         20.604383       35.951625        7.914083      11.782787         -12.351107            
   O        8      14     22          -163.855872              -17.636765               -4.186913            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.550437                1.952684              2.712574             3.100504               2.965316               0.387930              2.836188         23.572125       42.102495        7.040765      10.109540         -17.761164            
   O        8      16     24          -170.930478              -20.207813               -2.371534            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.478923                1.960237              2.739333             3.251411               3.090162               0.512079              2.841434         26.014086       47.176870        5.493764       7.074606         -20.877100            
   O        8      18     26           -173.47664              -22.436163               -0.766250            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.472645                1.644614              2.780749             3.406353               3.226804               0.625605              2.881383         28.139119       51.520461        3.075507       2.546163         -21.423032            
   O        8      20     28          -173.522386              -24.268728                0.369542            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.448260                1.599172              2.821457             3.560725               3.366114               0.739269              2.920689         29.825390       54.960883        1.644767       0.045747         -23.266207            
   O        8      22     30          -170.894481              -25.526898                1.240473             0.000000             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.428011                1.242536              2.847474             3.787712               3.561337               0.940238              2.945829         30.496112       56.340475        0.106902      -2.627905         -24.032978            
   O        8      24     32          -167.643462              -26.633025                1.499484            -0.000002            -0.000003              -0.000003              -0.000001                  -0.000015                     -0.000016                   2.393878                1.280437              2.866461             3.987441               3.738838               1.120980              2.944538         31.067773       57.562743       -0.364024      -3.251020         -24.789455            
   O        8      26     34          -164.377428              -27.796509                1.607562            -0.000002            -0.000003              -0.000003              -0.000002                  -0.000017                     -0.000019                   2.383932                1.303266              2.886009             4.138632               3.880447               1.252624              2.963571         31.942655       59.354962       -0.341166      -3.266034         -25.996708            
   O        8      28     36          -161.106916              -29.023388                1.690497            -0.000002            -0.000002              -0.000002              -0.000002                  -0.000016                     -0.000017                   2.365832                1.289943              2.906893             4.255858               3.995641               1.348965              2.983912         33.266950       62.030739       -0.338652      -3.270512         -27.784449            
   O        8      30     38          -157.943098              -30.304640                1.813463            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000008                     -0.000009                   2.347036                1.274797              2.929293             4.345037               4.087936               1.415744              3.005738         34.821797       65.181584       -0.299540      -3.163819         -30.566920            
   O        8      32     40          -154.675005              -31.520014                2.091112            -0.000001             0.000000               0.000000              -0.000001                  -0.000003                     -0.000004                   2.317981                1.278803              2.951483             4.419544               4.167511               1.468062              3.008131         36.259245       68.141848       -0.357247      -3.268093         -33.613491            
   O        8      34     42          -150.413412              -32.435015                2.451545             0.000000             0.000000               0.000000               0.000000                   0.000001                      0.000001                   2.291642                1.203814              2.968900             4.529314               4.276219               1.560415              3.025222         37.211916       70.118349       -0.889489      -4.261594         -35.580255            
   O        8      36     44          -144.858877              -33.029519                2.834397             0.000000             0.000000               0.000000               0.000000                   0.000001                      0.000001                   2.269353                0.967876              2.980256             4.699457               4.436706               1.719201              3.036368         37.593783       70.937852       -1.691423      -5.554535         -36.263815            
   O        8      38     46          -138.619511              -33.246720                3.037350             0.000000             0.000000               0.000000               0.000000                  -0.000005                     -0.000005                   2.251759                0.846256              2.985530             4.899443               4.623851               1.913913              3.041544           No_Data         No_Data       -2.212618      -6.239367         -36.398485            
   O        8      40     48          -132.502992              -33.412062                3.076773            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000012                     -0.000012                   2.243214                0.827106              2.991961             5.071624               4.788157               2.079664              3.028751           No_Data         No_Data       -2.221579      -6.116519            No_Data            
   Ne       10     2      12           -13.855247                5.433207              -25.323094             0.000000             0.000000               0.000000               0.000001                   0.000000                      0.000001                   1.141408                4.557379              4.019862             2.123993               3.770672              -1.895869              4.118409         -3.454157       -9.826964         No_Data        No_Data            No_Data            
   Ne       10     4      14           -57.719553                3.652807              -22.112029             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   1.408998                2.662889              3.437846             2.391529               3.174288              -1.046318              3.552575         -1.597359       -6.982058       25.542288      43.864306          -5.737342            
   Ne       10     6      16          -100.352147                0.738702              -19.529301            -0.000002            -0.000001              -0.000001              -0.000002                   0.000000                     -0.000002                   1.791069                2.750996              2.983633             2.539462               2.825264              -0.444172              3.115135          1.869205       -0.731866       24.023240      42.632595          -7.350538            
   Ne       10     8      18          -134.683069               -2.835332              -14.330672            -0.000001            -0.000001              -0.000001              -0.000001                   0.000000                     -0.000002                   1.894694                2.775170              2.870858             2.673791               2.784995              -0.197068              3.007296          5.957500        7.314833       19.928544      34.330922          -5.299056            
   Ne       10     10     20          -157.258948               -6.552668              -10.526888             0.173602             0.168598               0.171126               0.178792                   0.170178                      0.348969                   1.902856                2.006522              2.857200             2.828586               2.842929              -0.028615              2.974810          9.940866       15.295402       13.678786      22.575880          -1.590712            
   Ne       10     12     22          -176.545882              -10.074920               -8.628543             0.248226             0.236127               0.241432               0.257592                   0.313792                      0.571384                   1.884055                1.993659              2.868056             2.962799               2.920115               0.094743              2.985238         13.660152       22.799550       11.643558      19.286935          -6.282336            
   Ne       10     14     24          -191.732065              -12.695195               -7.051813            -0.000009            -0.000007              -0.000008              -0.000009                  -0.000011                     -0.000020                   1.756509                1.934702              2.842539             3.041927               2.960481               0.199388              2.960731         16.091570       27.876194        9.557272      15.186183          -9.685733            
   Ne       10     16     26          -203.806544              -15.293174               -4.759682            -0.000003            -0.000002              -0.000002              -0.000003                  -0.000003                     -0.000007                   1.677514                1.892406              2.865589             3.174939               3.059662               0.309351              2.982868         18.516252       32.876067        7.950794      12.074479         -11.650672            
   Ne       10     18     28          -210.888961              -17.632639               -2.977855            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000005                   1.647773                1.637816              2.905463             3.311727               3.172610               0.406264              3.021195         20.766370       37.412321        5.306320       7.082417         -11.658483            
   Ne       10     20     30          -215.274833              -19.800621               -1.469589            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.612916                1.768376              2.946080             3.429672               3.276415               0.483593              3.041248         22.906812       41.752447        3.896032       4.385873         -13.498193            
   Ne       10     22     32          -216.165546              -21.785493               -0.522279             0.164720             0.120750               0.131382               0.185691                   0.426847                      0.612537                   1.593271                1.508813              2.989276             3.568827               3.398351               0.579552              3.083111         24.646174       45.271065        2.083952       0.890714         -14.343160            
   Ne       10     24     34          -217.508902              -23.911429               -0.236976             0.313546             0.249620               0.263635               0.368374                   1.044450                      1.412823                   1.602125                1.487219              3.051675             3.717434               3.534664               0.665759              3.143648         26.930722       49.865441        2.169695       1.343356         -18.314421            
   Ne       10     26     36          -217.154271              -25.496507                0.306338             0.323434             0.254675               0.268299               0.386745                   1.232306                      1.619051                   1.576309                1.386898              3.078678             3.840826               3.645138               0.762148              3.169868         28.368542       52.776843        1.259743      -0.354632         -21.210809            
   Ne       10     28     38          -215.750139              -26.640841                0.643876             0.296642             0.208556               0.224288               0.357379                   1.155633                      1.513012                   1.529790                1.310340              3.090247             3.960628               3.751212               0.870381              3.181105         29.269423       54.643223        0.646554      -1.404133         -23.072711            
   Ne       10     30     40          -213.975138              -27.516084                0.764209             0.223876             0.123303               0.139521               0.269470                   0.771944                      1.041413                   1.489999                1.270851              3.088846             4.067150               3.845975               0.978304              3.161435         29.934538       56.032040        0.403095      -1.775002         -24.568222            
   Ne       10     32     42          -212.685152              -28.382605                0.974588            -0.000005            -0.000002              -0.000002              -0.000006                  -0.000014                     -0.000020                   1.442291                1.362695              3.082978             4.159235               3.929810               1.076257              3.155702         30.885210       58.010147        0.671781      -1.289986         -26.442054            
   Ne       10     34     44          -210.513459              -29.234279                1.688157            -0.000002             0.000000              -0.000001              -0.000002                  -0.000003                     -0.000005                   1.408220                1.392274              3.101520             4.280699               4.043016               1.179180              3.173819         31.899955       60.100048        0.291639      -2.171693         -27.538455            
   Ne       10     36     46          -205.515833              -29.804513                2.489395            -0.000001             0.000000               0.000000              -0.000001                   0.000000                     -0.000001                   1.382139                0.934525              3.115486             4.465338               4.208881               1.349852              3.187469         32.154224       60.656956       -1.335414      -4.997627         -26.802421            
   Ne       10     38     48          -199.776106              -30.158945                2.705500            -0.000003            -0.000001              -0.000002              -0.000003                  -0.000015                     -0.000018                   1.361357                0.887145              3.130467             4.644950               4.372903               1.514483              3.202113         32.384856       61.156596       -1.959029      -5.739727         -26.617229            
   Ne       10     40     50          -194.254884              -30.509868                2.729312            -0.000007            -0.000005              -0.000005              -0.000009                  -0.000053                     -0.000062                   1.340841                0.907433              3.146295             4.792875               4.511891               1.646581              3.199496         32.667974       61.751892       -1.863322      -5.521222         -27.335374            
   Ne       10     42     52          -188.912433              -30.848499                2.723138            -0.000010            -0.000006              -0.000006              -0.000013                  -0.000077                     -0.000090                   1.332939                0.905292              3.161290             4.929875               4.642388               1.768585              3.214243           No_Data         No_Data       -1.764864      -5.342452         -28.109441            
