 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Mg       12     30     42          -269.204171              -26.140479               -0.848911            -0.174599            -0.149793              -0.154908              -0.265344                  -0.876428                     -1.141772                   1.438006                1.087954              3.168384             3.931842               3.729692               0.763458              3.257063         28.331020       53.814024        1.662846       1.131560         -24.071295            
   Mg       12     32     44          -270.030437              -27.201850               -0.571918            -0.000005            -0.000003              -0.000003              -0.000008                  -0.000018                     -0.000026                   1.410701                1.097560              3.167070             4.027607               3.812228               0.860537              3.255785         29.167601       55.567323        1.505891       0.826267         -26.340290            
   Mg       12     34     46          -270.081996              -28.067410                0.403990            -0.000002             0.000000              -0.000001              -0.000002                  -0.000003                     -0.000006                   1.369886                1.208537              3.189413             4.147849               3.920477               0.958436              3.277523         30.069698       57.453376        1.178829       0.051559         -27.318882            
   Si       14     8      22          -140.072489                0.261035              -21.061694            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000001                     -0.000003                   2.000977                1.998440              3.191226             2.692493               3.019415              -0.498734              3.314502          2.336108        0.543498       24.924996      45.732323         -12.356379            
   Si       14     10     24          -175.531305               -2.391561              -17.542256            -0.000006            -0.000008              -0.000007              -0.000010                  -0.000008                     -0.000018                   1.962605                1.412238              3.097594             2.814978               2.983093              -0.282616              3.224452          5.219620        6.429112       19.434748      35.458817          -7.702315            
   Si       14     12     26          -207.449763               -5.123746              -15.561199            -0.000011            -0.000014              -0.000012              -0.000018                  -0.000018                     -0.000035                   1.925851                1.444674              3.053922             2.919319               2.992550              -0.134603              3.182521          8.090668       12.314985       17.387686      31.918458         -10.047569            
   Si       14     14     28          -235.885032               -7.823411              -13.291518            -0.000004            -0.000003              -0.000004              -0.000006                  -0.000005                     -0.000012                   1.899056                1.457050              3.039598             3.013008               3.026332              -0.026590              3.150406         11.063396       18.349818       15.668497      28.435270         -12.450254            
   Si       14     16     30          -257.955289              -10.341552               -9.718613            -0.000002            -0.000002              -0.000002              -0.000003                  -0.000003                     -0.000007                   1.824672                1.455652              3.052865             3.119267               3.088457               0.066402              3.163208         13.551428       23.471216       12.491480      22.070257         -12.120075            
   Si       14     18     32          -273.584383              -12.650764               -7.723005            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.771697                1.294423              3.090179             3.233392               3.171532               0.143213              3.199236         15.861356       28.223322        9.189585      15.629095         -10.800309            
   Si       14     20     34          -286.407465              -14.836475               -6.079514            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.742261                1.370557              3.126497             3.333716               3.249991               0.207219              3.234329         18.034707       32.654479        7.744032      12.823082         -12.746404            
   Si       14     22     36          -295.465110              -16.927492               -4.631574            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000004                     -0.000007                   1.727713                1.253615              3.149937             3.425344               3.320956               0.275407              3.256993         20.080789       36.806928        5.840909       9.057645         -13.412123            
   Si       14     24     38          -303.076032              -18.661469               -3.982642             0.144385             0.159269               0.154494               0.258311                   0.603217                      0.861528                   1.656363                1.255973              3.182669             3.536805               3.410615               0.354137              3.288660         21.367467       39.469261        5.060255       7.610923         -16.117850            
   Si       14     26     40          -309.435748              -20.334593               -3.254699             0.171756             0.185132               0.181180               0.312268                   0.802646                      1.114914                   1.598104                1.208273              3.208402             3.635625               3.492048               0.427224              3.313570         22.962769       42.751368        4.411981       6.359716         -17.528977            
   Si       14     28     42          -314.862929              -21.963723               -2.739038            -0.169822            -0.161481              -0.163755              -0.312591                  -0.793319                     -1.105910                   1.627520                1.169375              3.228286             3.729313               3.570125               0.501027              3.315363         24.968548       46.790319        3.902415       5.427182         -19.878549            
   Si       14     30     44          -318.743398              -23.556229               -2.252214            -0.076227            -0.072923              -0.073754              -0.140513                  -0.399911                     -0.540425                   1.541966                1.107380              3.230622             3.806559               3.633223               0.575938              3.317638         26.259600       49.539228        3.078613       3.880470         -22.370788            
   Si       14     32     46          -322.325110              -24.758724               -1.598015            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000005                     -0.000007                   1.490175                1.047452              3.245244             3.914455               3.723536               0.669211              3.331878         27.597775       52.294673        2.868272       3.581712         -24.820940            
   Si       14     34     48          -324.034966              -25.663885               -0.447180            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000004                     -0.000006                   1.452439                1.162199              3.269109             4.037408               3.829278               0.768300              3.355127         28.387648       53.952970        1.959754       1.709857         -25.704529            
   S        16     10     26          -176.534299                0.340480              -19.868002            -0.000002            -0.000004              -0.000003              -0.000004                  -0.000004                     -0.000008                   1.915041                1.338603              3.260125             2.845278               3.107130              -0.414847              3.380890          2.440321        1.002995       21.648952      39.986854          -8.161811            
   S        16     12     28          -213.352418               -1.848751              -18.023301            -0.000004            -0.000006              -0.000005              -0.000008                  -0.000008                     -0.000016                   1.897442                1.389547              3.192679             2.945579               3.089200              -0.247101              3.315901          4.862974        5.902656       19.773135      36.818119          -9.521113            
   S        16     14     30          -246.748896               -4.130759              -15.764192            -0.000002            -0.000003              -0.000002              -0.000005                  -0.000004                     -0.000009                   1.851684                1.410508              3.160486             3.033284               3.101774              -0.127203              3.284916          7.307303       10.863865       18.098267      33.396479         -10.999134            
   S        16     16     32          -273.631835               -6.394477              -12.036141            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.774215                1.408354              3.161267             3.128799               3.145075              -0.032469              3.267952          9.637717       15.676547       14.850901      26.882940          -9.446804            
   S        16     18     34          -293.791817               -8.654431               -9.959996            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.698292                1.247577              3.187507             3.234199               3.212311               0.046692              3.293342         11.838712       20.207434       11.407957      20.159982          -7.536528            
   S        16     20     36          -310.920351              -10.839590               -8.213285            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.631811                1.333934              3.214548             3.327517               3.277790               0.112969              3.319521         13.943479       24.512886        9.855023      17.128535          -9.035968            
   S        16     22     38          -324.076883              -12.924916               -6.658393            -0.000002            -0.000002              -0.000002              -0.000004                  -0.000006                     -0.000010                   1.569877                1.213543              3.231120             3.412872               3.337551               0.181752              3.335572         15.954682       28.611774        7.852005      13.156533          -9.369418            
   S        16     24     40          -335.167156              -14.889422               -5.713224            -0.000018            -0.000020              -0.000019              -0.000038                  -0.000074                     -0.000112                   1.501335                1.244790              3.244726             3.493908               3.396430               0.249182              3.348754         17.624412       32.091124        6.774304      11.090273         -11.402046            
   S        16     26     42          -345.277942              -16.695576               -4.999171             0.104769             0.114059               0.110915               0.226021                   0.480979                      0.707000                   1.477122                1.222765              3.269217             3.585553               3.468448               0.316337              3.372489         19.458710       35.842195        6.289171      10.110787         -13.901910            
   S        16     28     44          -353.844509              -18.351900               -4.331915            -0.083214            -0.087902              -0.086428              -0.181113                  -0.417193                     -0.598306                   1.415927                1.171917              3.283694             3.665524               3.531457               0.381830              3.386525         21.012514       38.981581        5.480625       8.566568         -16.108762            
   S        16     30     46          -361.234849              -19.828170               -3.654282            -0.000004            -0.000004              -0.000004              -0.000009                  -0.000019                     -0.000027                   1.352963                1.084445              3.295462             3.747642               3.596816               0.452180              3.397937         22.693191       42.491451        4.823352       7.390340         -18.071920            
   S        16     32     48          -367.198096              -21.004069               -2.632913            -0.000001             0.000000               0.000000              -0.000002                  -0.000003                     -0.000004                   1.304236                1.012861              3.314436             3.852285               3.681743               0.537850              3.399307         23.833699       44.872987        4.030277       5.963248         -20.154698            
   S        16     34     50          -370.550242              -22.003670               -1.419972            -0.000001             0.000000               0.000000              -0.000001                  -0.000002                     -0.000003                   1.253742                1.072929              3.340475             3.968782               3.779106               0.628307              3.424701         24.610729       46.515277        2.718968       3.352147         -19.925133            
   S        16     36     52          -371.181184              -23.115778               -0.584462            -0.000001             0.000000              -0.000001              -0.000002                  -0.000004                     -0.000006                   1.207525                0.865394              3.376529             4.060007               3.862609               0.683478              3.459877         25.675302       48.728077        1.284633       0.630942         -18.846218            
   S        16     38     54          -371.252896              -24.284986               -0.132737             0.000000             0.000000               0.000000              -0.000001                  -0.000002                     -0.000003                   1.180136                0.917359              3.416820             4.139678               3.939350               0.722859              3.499209         26.755413       50.943753        0.927233       0.071713         -20.499790            
   Ar       18     14     32          -250.560438               -1.535256              -17.943810            -0.000002            -0.000002              -0.000002              -0.000005                  -0.000004                     -0.000008                   1.694924                1.390248              3.290198             3.072492               3.196777              -0.217707              3.409898          3.679075        3.811543       20.230775      37.731805          -8.908020            
   Ar       18     16     34          -281.726634               -3.662109              -14.256200            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000006                   1.620779                1.323759              3.279011             3.159004               3.223093              -0.120008              3.399105          5.744897        8.094799       16.940102      31.166196          -6.677738            
   Ar       18     18     36          -306.668612               -5.906459              -12.218735            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.599547                1.226161              3.294388             3.256185               3.275342              -0.038204              3.396895          8.087317       12.876796       13.745949      24.941979          -4.736777            
   Ar       18     20     38          -328.397196               -8.107768              -10.354367            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.586398                1.302031              3.312425             3.342865               3.328481               0.030441              3.414391         10.347528       17.476846       12.128388      21.728585          -6.305380            
   Ar       18     22     40          -345.788729              -10.197615               -8.678224            -0.000002            -0.000002              -0.000002              -0.000004                  -0.000006                     -0.000010                   1.559517                1.148304              3.321966             3.422871               3.377837               0.100906              3.423647         12.420620       21.711846        9.920934      17.391533          -6.568378            
   Ar       18     24     42          -361.033488              -12.183185               -7.638519            -0.000005            -0.000005              -0.000005              -0.000012                  -0.000020                     -0.000032                   1.524993                1.189363              3.330092             3.498208               3.427168               0.168116              3.431533         14.446330       25.866332        8.791214      15.244759          -8.656605            
   Ar       18     26     44          -374.709469              -14.040126               -6.763806            -0.000002            -0.000002              -0.000002              -0.000005                  -0.000008                     -0.000012                   1.468603                1.204808              3.342136             3.571606               3.479561               0.229471              3.443222         16.188626       29.431528        8.035077      13.675982         -11.242314            
   Ar       18     28     46          -386.823058              -15.726912               -5.957714            -0.000006            -0.000006              -0.000006              -0.000016                  -0.000029                     -0.000045                   1.423405                1.147926              3.356920             3.646145               3.535788               0.289226              3.457574         17.908941       32.978549        7.233162      12.113589         -13.245116            
   Ar       18     30     48          -397.357702              -17.211084               -5.021305            -0.000001            -0.000001              -0.000001              -0.000004                  -0.000006                     -0.000010                   1.371662                1.029597              3.373423             3.727291               3.598670               0.353869              3.473598         19.423740       36.122854        6.356084      10.534645         -15.213193            
   Ar       18     32     50          -405.633325              -18.403548               -3.704593            -0.000001             0.000000               0.000000              -0.000002                  -0.000003                     -0.000004                   1.316226                0.988998              3.393170             3.823414               3.674335               0.430245              3.492779         20.527846       38.435229        5.147110       8.275623         -16.098477            
   Ar       18     34     52          -410.939629              -19.523847               -2.541552            -0.000001             0.000000              -0.000001              -0.000002                  -0.000003                     -0.000005                   1.270160                0.999840              3.420729             3.928520               3.760514               0.507791              3.519558         21.456645       40.389387        3.647572       5.306305         -15.441533            
   Ar       18     36     54          -414.203141              -20.744841               -1.858811             0.000000             0.000000               0.000000               0.000000                   0.000000                     -0.000001                   1.229395                0.906412              3.455898             4.014152               3.837102               0.558255              3.537377         22.729439       43.021958        2.584882       3.263512         -15.352899            
   Ar       18     38     56          -416.866389              -22.020383               -1.339185             0.000000             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   1.212569                0.959707              3.494366             4.087880               3.906952               0.593515              3.574968         24.003100       45.613494        2.264684       2.663249         -17.385206            
   Ar       18     40     58          -418.484140              -23.238136               -0.681946             0.000000             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   1.187030                1.066896              3.527441             4.157410               3.972608               0.629969              3.607304         25.155360       47.957494        1.822178       1.617751         -18.931244            
