Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
104    238    342    0.175632            -2158.207363        -2158.031731        -0.151856      0.01           0.003725       YES
104    240    344    0.130454            -2159.137246        -2159.006792        -0.145165      0.01           0.005172       YES
104    260    364    0.149324            -2160.000468        -2159.851144        0.001115       0.01           -0.005532      YES
104    262    366    0.119583            -2157.016421        -2156.896838        0.003978       0.01           -0.022853      YES
104    264    368    0.146373            -2154.78444         -2154.638067        0.058472       0.010001       0.004543       NO
106    184    290    -0.004436           -2071.918944        -2071.92338         -1.7e-05       0.009999       0.002813       YES
106    186    292    -0.016719           -2078.211392        -2078.228111        -1e-05         0.010001       -0.004515      YES
106    188    294    -0.011916           -2083.972809        -2083.984725        -0.117925      0.01           -0.159722      YES
106    190    296    0.004673            -2090.534107        -2090.529434        -0.120072      0.01           -0.18859       YES
106    192    298    0.077924            -2097.447939        -2097.370015        0.138387       0.010001       0.061535       NO
106    194    300    0.112761            -2104.737492        -2104.624731        0.2049         0.01           -0.157887      YES
106    212    318    0.198297            -2157.28228         -2157.083983        0.217961       0.009999       -0.027694      YES
106    214    320    0.235631            -2161.423257        -2161.187626        0.220096       0.01           -0.028873      YES
106    216    322    0.302551            -2165.314744        -2165.012193        0.222148       0.01           -0.029788      YES
106    234    340    0.115161            -2185.520614        -2185.405453        0.184544       0.010001       -0.023571      YES
106    236    342    0.077261            -2186.426043        -2186.348782        0.16428        0.01           -0.02461       YES
106    238    344    0.097766            -2187.321792        -2187.224026        0.146652       0.01           -0.223261      YES
106    240    346    0.109845            -2188.280524        -2188.170679        -0.145871      0.01           -0.51744       YES
106    242    348    0.072796            -2189.415593        -2189.342797        -0.136407      0.01           -0.510504      YES
106    260    366    0.186794            -2192.910867        -2192.724073        0.00118        0.01           -0.003379      YES
106    262    368    0.139443            -2190.310843        -2190.1714          0.004761       0.01           -0.018075      YES
106    264    370    0.13499             -2188.25468         -2188.11969         0.054663       0.01           0.00541        NO
108    186    294    -0.008914           -2092.033537        -2092.042451        -1.4e-05       0.010001       0.000862       YES
108    188    296    -0.01114            -2098.276017        -2098.287157        -0.121525      0.01           -0.520909      YES
108    190    298    0.034063            -2105.489787        -2105.455724        -0.122266      0.01           -0.514061      YES
108    192    300    0.102764            -2112.64921         -2112.546446        0.132863       0.01           -0.250571      NO
108    194    302    0.053193            -2118.76857         -2118.715377        -0.192145      0.01           -0.567264      YES
108    196    304    0.224948            -2125.206953        -2124.982005        -0.276071      0.01           -0.642899      NO
108    198    306    0.21127             -2131.759857        -2131.548587        -0.273335      0.01           -0.628018      YES
108    212    320    0.127716            -2178.220444        -2178.092728        0.217144       0.01           -0.028139      YES
108    214    322    0.168686            -2182.96381         -2182.795124        0.216871       0.01           -0.028884      YES
108    216    324    0.231054            -2187.441979        -2187.210925        0.217106       0.01           -0.029371      YES
108    242    350    0.140661            -2218.116855        -2217.976194        0.125104       0.009999       -0.278941      YES
