Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
100    264    364    -1.925432           -2016.592349        -2014.666917        0.118752       0.061577       10.603401      
102    128    230    -0.906313           -1673.510059        -1672.603746        0.098477       0.020829       0.0            
102    130    232    -0.4776             -1691.112686        -1690.635086        0.167039       0.090417       35.162162      
102    136    238    -0.025265           -1746.57201         -1746.546745        0.119253       0.355545       35.938462      
102    182    284    -0.299419           -2016.388774        -2016.089355        0.055096       0.013468       0.263104       
102    184    286    -0.475987           -2024.045511        -2023.569524        0.075006       0.003895       0.036675       
102    186    288    -1.209087           -2028.291848        -2027.082761        0.098359       0.019808       0.054314       
102    188    290    -2.528343           -2032.291405        -2029.763062        0.126361       0.038878       0.195741       
102    190    292    -2.935534           -2037.056971        -2034.121437        0.147816       0.074391       49.188358      
102    192    294    -1.477825           -2041.218057        -2039.740232        0.161599       0.094737       49.182695      
102    194    296    -0.157077           -2045.116922        -2044.959845        0.151753       0.137482       49.821754      
102    256    358    -0.022966           -2069.216986        -2069.19402         0.02693        0.001797       0.17493        
102    258    360    -0.132753           -2067.719037        -2067.586284        0.052442       0.003925       0.100229       
102    260    362    -0.514495           -2063.453275        -2062.93878         0.076335       0.018642       2.224258       
102    262    364    -1.114284           -2058.792416        -2057.678132        0.101892       0.034934       5.201799       
102    264    366    -2.207975           -2054.859049        -2052.651074        0.126004       0.058961       11.590872      
104    136    240    -0.024258           -1745.978572        -1745.954314        0.135504       0.387313       40.247471      
104    166    270    -0.001471           -1961.364562        -1961.363091        0.066314       0.238471       29.067072      
104    170    274    -0.030119           -1979.463292        -1979.433173        0.067499       0.207896       24.836987      
104    182    286    -0.123796           -2032.15613         -2032.032334        0.045536       0.005669       -3.145993      
104    184    288    -0.286615           -2040.295668        -2040.009053        0.066949       -0.000601      0.037999       
104    186    290    -0.854994           -2045.012667        -2044.157673        0.093832       0.00536        0.054535       
104    188    292    -1.988658           -2049.460758        -2047.4721          0.119889       0.039513       0.241856       
104    190    294    -2.47073            -2054.920352        -2052.449622        0.150521       0.072725       13.733084      
104    258    362    -0.085973           -2103.556715        -2103.470742        0.046248       0.001008       0.122072       
104    260    364    -0.412977           -2099.550542        -2099.137565        0.075799       0.007941       0.117936       
104    262    366    -1.149215           -2095.231946        -2094.082731        0.102511       0.032528       3.572562       
104    264    368    -2.248448           -2091.791156        -2089.542708        0.130001       0.058548       12.058845      
106    184    290    -0.075824           -2055.268271        -2055.192447        0.046859       0.005478       0.038836       
106    186    292    -0.456035           -2060.437509        -2059.981474        0.081189       -0.000606      0.05203        
106    188    294    -1.259634           -2065.299228        -2064.039594        0.114636       0.033977       -28.715051     
106    190    296    -1.886457           -2071.703195        -2069.816738        0.086346       0.385408       -30.427965     
106    192    298    -2.942213           -2078.334567        -2075.392354        0.055013       0.368798       -32.26587      
106    258    364    -0.005747           -2138.217326        -2138.211579        0.026331       -0.000311      0.123242       
106    260    366    -0.247506           -2134.535337        -2134.287831        0.064938       0.014094       0.344994       
106    262    368    -0.918292           -2130.466767        -2129.548475        0.100159       0.030202       0.935404       
106    264    370    -2.122595           -2127.422123        -2125.299528        0.130291       0.055871       11.821078      
108    186    294    -0.100214           -2074.680442        -2074.580228        0.056654       0.005804       0.045552       
108    188    296    -0.849292           -2080.247687        -2079.398395        0.120201       0.409824       -28.937256     
108    190    298    -1.813712           -2087.646203        -2085.832491        0.089019       0.394207       -30.629845     
108    192    300    -2.83413            -2094.881848        -2092.047718        0.059011       0.381723       -32.393208     
108    194    302    -3.834466           -2101.84531         -2098.010844        0.040069       0.370031       -34.248569     
108    260    368    -0.029016           -2168.337666        -2168.30865         0.042206       -0.000167      0.356466       
108    262    370    -0.551346           -2164.537658        -2163.986312        0.094462       0.028142       1.02242        
108    264    372    -1.923179           -2161.85241         -2159.929231        0.12831        0.052783       10.556728      
108    266    374    -2.453012           -2159.021835        -2156.568823        0.144642       0.062812       18.27683       
110    188    298    -0.797307           -2093.974954        -2093.177647        0.134241       0.419681       -0.098005      
110    190    300    -1.923753           -2102.036919        -2100.113166        0.108027       0.404618       -30.551169     
110    194    304    -4.141419           -2117.63108         -2113.489661        0.040661       0.381858       -34.309476     
110    196    306    -5.05971            -2124.803646        -2119.743936        0.010084       0.368153       -36.289909     
110    262    372    -0.274911           -2197.562585        -2197.287674        0.013574       0.387359       0.926458       
112    162    274    0.025236            -1964.491029        -1964.516265        0.041205       0.23355        30.0776        
112    188    300    0.032632            -2106.087626        -2106.120258        0.140216       0.428315       67.212639      
112    190    302    -2.006013           -2114.844379        -2112.838366        0.109987       0.411575       -30.150627     
112    192    304    0.030409            -2123.506812        -2123.537221        0.072031       0.399306       65.082737      
112    274    386    -0.002347           -2219.377714        -2219.375367        0.088033       0.358883       89.01319       
112    276    388    -0.000363           -2217.39212         -2217.391757        0.066316       0.35169        88.69748       
