  Z      N    UNEDF0    UNEDF1    UNEDF2    SV_MIN      SLY4      SKMS       SKP     Total
 98    192         1         1         1         1         1         1         1         7
 98    194         0         1         1         1         1         1         0         5
 98    196         0         1         1         1         1         1         0         5
 98    198         0         1         1         0         1         0         0         3
 98    218         0         0         0         0         0         0         1         1
 98    230         0         0         0         1         0         0         0         1
 98    232         0         0         1         0         0         0         0         1
 98    234         0         0         1         1         0         0         0         2
 98    236         0         0         1         0         0         0         1         2
 98    238         0         0         1         1         0         0         0         2
 98    246         0         0         0         0         0         0         1         1
 98    256         0         0         0         0         0         1         0         1
 98    258         0         0         0         0         0         1         0         1
 98    260         0         0         0         0         0         1         0         1
 98    262         1         1         1         0         1         1         0         5
100    126         0         1         1         1         1         1         0         5
100    128         1         1         1         1         1         1         0         6
100    130         0         1         1         0         1         0         0         3
100    132         0         1         1         0         1         0         0         3
100    134         0         0         1         0         0         0         0         1
100    158         0         0         0         0         0         0         1         1
100    162         0         0         0         0         1         1         1         3
100    164         0         0         0         0         0         1         0         1
100    166         0         0         0         0         0         1         0         1
100    168         0         0         0         1         1         1         0         3
100    182         0         0         0         0         1         1         0         2
100    184         0         1         1         1         1         1         0         5
100    186         1         1         1         1         1         1         0         6
100    188         1         1         1         1         1         1         1         7
100    190         1         1         1         1         1         1         1         7
100    192         0         1         1         1         1         1         0         5
100    194         0         1         1         1         1         1         0         5
100    196         0         1         1         1         1         1         0         5
100    198         0         1         1         0         1         0         0         3
100    216         0         0         0         0         0         0         1         1
100    228         0         0         0         0         0         0         1         1
100    230         0         0         0         1         0         0         1         2
100    232         0         0         0         1         0         0         1         2
100    234         0         0         1         1         0         0         1         3
100    236         0         0         1         1         0         0         1         3
100    238         0         0         1         0         0         0         1         2
100    240         0         0         1         0         0         0         1         2
100    242         0         0         1         0         0         0         1         2
100    244         0         0         0         0         0         0         1         1
100    250         0         0         1         0         0         0         0         1
100    256         0         0         0         0         0         1         0         1
100    258         0         0         0         0         1         1         0         2
100    260         0         1         1         0         1         1         1         5
100    262         1         1         1         1         1         1         1         7
100    264         1         1         1         1         1         1         1         7
102    128         1         1         1         1         1         1         0         6
102    130         0         0         1         0         1         0         0         2
102    132         0         0         1         0         0         0         0         1
102    134         0         0         1         0         0         1         0         2
102    136         0         0         0         0         1         1         0         2
102    154         0         0         0         0         0         0         1         1
102    156         0         0         0         0         0         0         1         1
102    162         0         0         0         0         0         1         0         1
102    164         0         0         0         0         0         1         0         1
102    166         0         0         0         0         0         1         0         1
102    168         0         0         0         0         0         1         0         1
102    174         0         0         0         0         0         0         1         1
102    182         0         0         1         0         1         1         0         3
102    184         0         1         1         1         1         1         0         5
102    186         1         1         1         1         1         1         0         6
102    188         1         1         1         1         1         1         1         7
102    190         1         1         1         1         1         1         0         6
102    192         0         1         1         1         1         1         0         5
102    194         0         1         1         1         1         0         0         4
102    196         0         1         1         0         0         0         0         2
102    214         0         0         1         0         0         0         0         1
102    226         0         0         1         0         0         0         0         1
102    228         0         0         1         0         0         0         0         1
102    230         0         0         1         0         0         0         1         2
102    232         0         0         1         1         0         0         1         3
102    234         0         0         1         1         0         0         1         3
