Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
102    188    290    0.003762            -2029.763062        -2029.7593          0.001381       0.01           -0.037497      YES
102    190    292    -0.040398           -2034.121437        -2034.161835        0.301738       0.01           0.227347       YES
102    192    294    0.149516            -2039.740232        -2039.590716        0.299025       0.01           0.204288       YES
102    194    296    0.289515            -2044.959845        -2044.67033         0.299599       0.01           0.162117       YES
102    256    358    0.271416            -2069.19402         -2068.922604        0.000806       0.01           -0.000991      YES
102    258    360    0.260757            -2067.586284        -2067.325527        0.000478       0.01           -0.003447      YES
102    260    362    0.409351            -2062.93878         -2062.529429        0.010244       0.01           -0.008398      YES
102    262    364    0.646937            -2057.678132        -2057.031195        0.023716       0.01           -0.011218      YES
102    264    366    0.602479            -2052.651074        -2052.048595        0.049727       0.01           -0.009234      YES
104    136    240    0.330439            -1745.954314        -1745.623875        0.34761        0.01           -0.039703      YES
104    166    270    0.17702             -1961.363091        -1961.186071        0.216706       0.01           -0.021765      YES
104    170    274    0.116338            -1979.433173        -1979.316835        0.181884       0.01           -0.026012      YES
104    182    286    -0.060277           -2032.032334        -2032.092611        -0.024787      0.01           -0.030456      YES
104    184    288    0.034788            -2040.009053        -2039.974265        0.000237       0.01           0.000838       YES
104    186    290    0.045562            -2044.157673        -2044.112111        0.000373       0.01           -0.004987      YES
104    188    292    0.038069            -2047.4721          -2047.434031        0.001689       0.01           -0.037824      YES
104    190    294    0.053236            -2052.449622        -2052.396386        0.090898       0.010039       0.018173       NO
104    258    362    0.254694            -2103.470742        -2103.216048        0.000528       0.01           -0.00048       YES
104    260    364    0.231395            -2099.137565        -2098.90617         0.000608       0.01           -0.007333      YES
104    262    366    0.345611            -2094.082731        -2093.73712         0.016028       0.01           -0.0165        YES
104    264    368    0.437914            -2089.542708        -2089.104794        0.051265       0.01           -0.007283      YES
106    184    290    0.033606            -2055.192447        -2055.158841        0.000234       0.01           -0.005244      YES
106    186    292    0.052505            -2059.981474        -2059.928969        0.000347       0.01           0.000953       YES
106    188    294    0.176749            -2064.039594        -2063.862845        -0.184379      0.009998       -0.218356      NO
